,precision,recall,f1-score,support
0,0.9999129784789085,0.9937508870281011,0.9968224097411994,450944.0
1,0.9937891621099217,0.9999135147601476,0.9968419318931718,450944.0
accuracy,0.9968322008941243,0.9968322008941243,0.9968322008941243,0.9968322008941243
macro avg,0.9968510702944151,0.9968322008941244,0.9968321708171857,901888.0
weighted avg,0.9968510702944152,0.9968322008941243,0.9968321708171857,901888.0
