,precision,recall,f1-score,support
0,0.9998618827607408,0.9953164916264547,0.9975840095661664,450944.0
1,0.9953376865918754,0.9998625106443372,0.997594967796464,450944.0
accuracy,0.997589501135396,0.997589501135396,0.997589501135396,0.997589501135396
macro avg,0.997599784676308,0.9975895011353959,0.9975894886813153,901888.0
weighted avg,0.997599784676308,0.997589501135396,0.9975894886813153,901888.0
