,precision,recall,f1-score,support
0,0.9996013895693225,0.9954251525688333,0.9975088999604446,450944.0
1,0.9954441863135672,0.99960305492478,0.9975192858375787,450944.0
accuracy,0.9975141037468067,0.9975141037468067,0.9975141037468067,0.9975141037468067
macro avg,0.9975227879414449,0.9975141037468067,0.9975140928990116,901888.0
weighted avg,0.9975227879414449,0.9975141037468067,0.9975140928990116,901888.0
