,precision,recall,f1-score,support
0,0.9961214624514899,0.9733381528526823,0.9845980255144273,450944.0
1,0.9739343274262994,0.9962101724382628,0.9849463167149382,450944.0
accuracy,0.9847741626454726,0.9847741626454726,0.9847741626454726,0.9847741626454726
macro avg,0.9850278949388946,0.9847741626454726,0.9847721711146827,901888.0
weighted avg,0.9850278949388945,0.9847741626454726,0.9847721711146827,901888.0
