,precision,recall,f1-score,support
0,0.98830466902104,0.6013473956854953,0.7477289553539301,450944.0
1,0.713516226962335,0.9928838170593245,0.8303313369477833,450944.0
accuracy,0.7971156063724099,0.7971156063724099,0.7971156063724099,0.7971156063724099
macro avg,0.8509104479916875,0.7971156063724099,0.7890301461508566,901888.0
weighted avg,0.8509104479916876,0.7971156063724099,0.7890301461508568,901888.0
