ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW
39000000000001,0,0,980228000000.0,1808,498161.49656251,496027.44071138,484377.315721,-88.21,123.73,404.75,239.11,103.34,59.68733,1.67105,10.0875,416.26,502.411053,440.78,0.028304,0.030465,-0.8533,-0.0222,0.521,0.728387,0.532881,0.132031,0.365709,0.921317,0.987131,-0.133105,-0.088627,0.090221,0.921162,-0.378576,199.59,16,1.0,9.5223e+16,-1.66883e+17,-1.88576e+16,974752.0,8.79862
39000000000002,0,1,526115000000.0,962,507799.65003332,512052.02817917,493514.07885551,-77.8,-244.03,144.11,194.2,46.99,171.60669,2.2556,7.77485,345.42,408.418494,331.05,0.014425,0.015593,0.01281,0.3906,0.9205,0.695785,0.633281,-0.512006,-0.339921,0.788862,0.367385,0.743476,0.558813,-0.776452,0.575931,-0.255783,199.95,14,1.0,2.88299e+16,-5.44664e+16,-7746580000000000.0,547092.0,9.68729
39000000000003,0,0,487972000000.0,854,520347.81551039,496562.45192966,492938.44985801,-347.38,-44.65,245.89,190.89,21.07,6.77132,1.97989,10.18585,392.08,396.731588,331.73,0.020171,0.02327,-0.3136,0.8787,0.3599,0.828998,0.533553,0.628247,0.329719,0.704692,0.047656,0.887748,-0.457856,0.776553,-0.32123,-0.542012,195.27,14,1.0,2.68496e+16,-5.24028e+16,-7189620000000000.0,638716.0,18.1091
39000000000004,0,2,533820000000.0,774,509831.43748801,494023.51998815,502100.76960084,-241.53,58.86,58.09,195.48,93.57,87.71952,3.71144,13.17168,333.19,410.048533,340.23,0.037416,0.034368,0.1985,0.9145,0.3524,0.75545,0.600134,-0.703415,0.58399,0.40517,-0.258929,-0.741404,0.619093,0.661939,0.330569,0.672726,198.92,14,1.0,3.08966e+16,-4.98284e+16,-9240170000000000.0,368911.0,7.9965
39000000000005,0,0,445061000000.0,760,491389.81716558,506429.641712,498610.53099616,111.54,-134.55,-44.76,184.1,110.97,63.91982,3.74645,2.13891,309.25,385.809447,321.23,0.016216,0.018334,-0.3741,-0.849,0.3732,0.842447,0.734838,0.270078,-0.603225,0.750452,-0.579526,0.52058,0.627014,0.7689,0.604249,0.208987,198.54,14,1.0,2.29625e+16,-4.41346e+16,-5005860000000000.0,479881.0,7.4533
39000000000006,0,3,511092000000.0,760,497771.29691626,491885.06576632,494490.43295213,-21.99,290.98,246.61,192.46,107.7,102.21396,2.21076,34.334,304.46,404.99513,334.34,0.021562,0.018129,0.2316,0.6597,0.715,0.563736,0.389734,-0.55393,0.156357,0.817749,0.831684,0.149044,0.534871,-0.03825,0.97639,-0.2126,199.58,14,1.0,2.85654e+16,-4.33348e+16,-1.15232e+16,391199.0,5.11262
39000000000007,0,1,455710000000.0,681,511785.19320242,493270.73668696,500321.71822086,-345.48,76.2,76.55,185.15,53.66,152.35229,4.00178,18.53795,346.67,389.295066,349.89,0.043451,0.043092,-0.2012,-0.8992,0.3885,0.771365,0.515074,0.438211,0.692965,0.572513,-0.73199,-0.094553,0.674723,0.521692,-0.714744,0.465809,199.87,14,1.0,2.78943e+16,-4.4876e+16,-7006090000000000.0,452768.0,12.1153
39000000000008,0,1,467456000000.0,661,511333.45706122,492456.64029193,502329.92270835,-353.21,142.7,-57.03,186.85,170.07,150.22175,3.64442,31.5267,280.46,393.2021,306.5,0.087406,0.070805,0.9692,-0.2414,0.04958,0.577479,0.478998,-0.225732,-0.482182,0.84649,0.755855,-0.634869,-0.160075,0.614596,0.603689,0.507771,199.45,13,1.0,2.19563e+16,-3.3769e+16,-1.39654e+16,369474.0,3.07188
39000000000009,0,0,361653000000.0,618,507340.18995648,510718.23778607,492226.33384523,-101.68,-173.47,277.6,171.63,51.0,41.95349,4.92106,5.6549,313.5,360.196773,306.74,0.039068,0.043282,0.5604,0.6671,-0.4908,0.824107,0.596967,-0.076404,0.455859,0.886767,0.996398,0.067722,0.051036,-0.036788,0.887472,-0.459391,199.11,13,1.0,1.70138e+16,-3.14109e+16,-4274090000000000.0,428326.0,10.9998
39000000000010,0,0,417714000000.0,608,511393.67404191,504521.3923938,508413.09194979,-259.52,-143.85,-69.2,180.29,113.23,79.07529,2.37066,7.37183,296.34,377.693753,319.46,0.025787,0.024864,0.8908,0.4236,0.1645,0.849503,0.636983,0.900843,0.175931,0.396901,-0.178939,-0.682486,0.708656,-0.395554,0.709409,0.583331,198.39,13,1.0,2.13148e+16,-3.51637e+16,-5234200000000000.0,389766.0,6.62955
