ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW
26000000000001,0,1,199301000000.0,249,498355.40927373,495831.79217118,483678.96905312,-114.35,81.37,342.65,141.51,39.72,108.08494,8.43536,13.80461,261.06,339.60712,267.6,0.026434,0.022322,-0.3249,-0.8679,0.3758,0.715271,0.528614,-0.700516,0.569087,-0.430601,0.293761,0.779849,0.552756,0.650371,0.26072,-0.713473,196.45,11,1.0,7135770000000000.0,-1.12334e+16,-3801200000000000.0,227947.0,5.86772
26000000000002,0,0,161666000000.0,199,507930.73365563,512418.7563595,493192.9268335,-74.81,-171.43,175.85,132.21,50.14,96.01131,4.23132,8.46327,232.31,316.442085,234.35,0.011266,0.010374,0.7918,0.4232,0.4404,0.663426,0.593808,-0.564646,0.040546,0.824337,0.465037,0.84078,0.277182,0.681847,-0.539857,0.493598,195.4,10,1.0,4439330000000000.0,-7871060000000000.0,-1969710000000000.0,279726.0,4.18514
26000000000003,0,0,116328000000.0,147,491212.33986484,506666.15532504,498674.92003573,87.82,-143.1,-27.17,118.75,45.98,18.36837,7.24653,7.40307,227.62,283.229146,222.39,0.031229,0.030713,0.4917,-0.5253,0.6945,0.718155,0.591102,-0.292569,-0.615606,0.731732,0.806094,-0.570419,-0.157592,0.514408,0.543738,0.663123,194.03,9,1.0,2876510000000000.0,-5132980000000000.0,-480583000000000.0,156935.0,7.55702
26000000000004,0,0,96521500000.0,120,506348.80363941,500892.84777641,494912.87767887,-115.19,88.72,143.56,112.19,96.49,94.45414,9.03888,11.17798,187.11,265.439235,177.96,0.011626,0.010968,0.2047,0.7578,-0.6195,0.741768,0.628166,-0.117897,0.48538,0.866318,-0.635545,0.633444,-0.441397,0.763009,0.602623,-0.2338,190.96,9,1.0,1528370000000000.0,-3041490000000000.0,-926303000000000.0,137186.0,-1.0
26000000000005,0,0,87489100000.0,108,512922.93667793,500104.4511795,509745.00775337,-306.32,110.68,-174.06,108.8,45.92,23.23184,3.76331,8.22685,248.44,256.618033,251.18,0.018089,0.018357,-0.9314,-0.227,-0.2844,0.895478,0.553896,-0.276293,0.246009,0.929054,-0.629553,0.684083,-0.368366,0.726172,0.686665,0.034132,189.77,9,1.0,2759930000000000.0,-4243280000000000.0,-63492500000000.0,207882.0,16.7922
26000000000006,0,0,84241900000.0,103,520940.48261642,496637.47492291,492455.42571658,-344.7,-11.08,260.13,108.99,59.24,25.53299,4.78017,9.1795,198.48,255.837677,191.36,0.033236,0.032836,-0.1397,-0.9316,-0.3357,0.769816,0.557753,0.653123,0.010234,0.757183,0.202774,0.96103,-0.187896,0.729598,-0.276256,-0.625595,181.78,8,1.0,1542370000000000.0,-2843620000000000.0,-485978000000000.0,132720.0,6.83623
26000000000007,0,0,82736500000.0,101,505384.02795792,501656.13713088,509493.02867607,-32.99,-54.53,-325.7,105.51,16.12,10.56188,4.51949,12.79891,215.59,253.405302,201.29,0.037652,0.037492,-0.5869,-0.6116,0.5306,0.766746,0.518048,-0.698747,0.715308,-0.009293,0.179107,0.187508,0.965796,0.692584,0.673182,-0.259138,196.74,8,1.0,1676070000000000.0,-2993000000000000.0,-391630000000000.0,145315.0,9.94919
26000000000008,0,0,83857000000.0,97,512623.64642961,491628.54254246,496403.50256647,-227.03,184.29,129.74,106.81,11.98,10.88717,4.21204,14.60603,222.61,253.560418,205.04,0.023543,0.023426,0.2999,-0.3948,-0.8684,0.846266,0.508637,0.366706,0.065626,0.928019,-0.352564,0.932909,0.073344,0.860944,0.354082,-0.365241,192.23,8,1.0,1762800000000000.0,-3097340000000000.0,-488007000000000.0,226111.0,11.4146
26000000000009,0,0,76154700000.0,95,490066.37268596,487024.56333019,516745.93377996,25.4,87.96,-55.57,104.42,46.47,13.63952,5.57783,8.60636,197.05,244.38285,182.48,0.017963,0.018134,0.1776,-0.8167,-0.5491,0.777541,0.562777,-0.55232,0.810101,-0.196669,0.812233,0.576063,0.091813,-0.187671,0.109031,0.976162,186.82,8,1.0,1267880000000000.0,-2426690000000000.0,-302492000000000.0,126433.0,7.6876
26000000000010,0,0,76714900000.0,93,483987.54000664,503716.27012889,508068.09663773,55.94,-102.58,-128.42,103.36,48.97,47.81743,2.96438,6.98287,205.98,246.536814,195.97,0.028482,0.029273,0.7373,0.3337,0.5874,0.710146,0.619015,0.738944,0.582385,-0.338806,-0.593395,0.800708,0.082154,0.31913,0.140339,0.937263,194.06,8,1.0,1473160000000000.0,-2704530000000000.0,-220867000000000.0,154781.0,9.15454
26000000000011,0,1,77747700000.0,93,507470.09515762,511005.78069687,491846.13466263,-46.31,-130.21,175.36,104.32,37.48,32.34118,1.23282,18.50389,207.64,247.049456,197.45,0.026889,0.0273,0.3869,-0.2654,-0.8831,0.550839,0.431098,0.761097,-0.29815,-0.576054,0.283142,0.95173,-0.118495,0.583577,-0.072919,0.808778,191.31,8,1.0,1515500000000000.0,-2738390000000000.0,-532364000000000.0,238580.0,9.41121
26000000000012,0,0,66649600000.0,81,495866.45722389,511189.93639946,488593.8835144,-162.4,-159.05,289.85,98.5,62.42,51.39048,14.70726,3.97448,180.41,235.401538,154.93,0.071073,0.065534,-0.6321,-0.1143,-0.7664,0.656921,0.490013,0.703892,0.356841,-0.614167,0.662039,-0.016291,0.749292,-0.257372,0.934023,0.24771,194.83,8,1.0,799939000000000.0,-1584960000000000.0,-495188000000000.0,77147.4,5.75655
26000000000013,0,0,68479000000.0,80,497814.1784668,491405.48706055,494014.73999023,-11.97,250.47,220.37,99.19,38.85,54.10889,2.67906,4.99966,184.39,237.773744,180.28,0.017932,0.017101,-0.1056,-0.06646,0.9922,0.85212,0.633726,-0.533918,0.213079,0.818248,0.809066,-0.152403,0.567614,0.24565,0.965075,-0.091024,196.01,8,1.0,1112850000000000.0,-1993130000000000.0,-341603000000000.0,127628.0,6.19156
26000000000014,0,0,63875100000.0,78,507696.70094763,495341.8054751,488551.67414461,-124.66,51.58,157.83,97.42,26.97,69.20388,3.13278,27.19068,173.78,231.71455,178.0,0.056861,0.050646,-0.04867,0.2468,-0.9678,0.650601,0.477846,-0.182608,0.983021,-0.018021,0.9268,0.178225,0.330572,-0.328171,-0.043663,0.943609,192.96,8,1.0,1011860000000000.0,-1692050000000000.0,-470585000000000.0,121747.0,4.96861
26000000000015,0,0,66973500000.0,78,496409.05992551,511544.81010004,491502.79435244,-33.17,-198.1,143.91,98.01,51.67,63.68211,7.88335,10.66967,177.58,236.55603,170.64,0.037802,0.034458,-0.9575,-0.1558,-0.2428,0.831707,0.411612,0.55135,0.234988,0.800496,0.646404,-0.726924,-0.231827,0.527423,0.645262,-0.552687,198.7,8,1.0,975076000000000.0,-1753600000000000.0,-431345000000000.0,94599.0,5.00293
26000000000016,0,0,68330300000.0,75,476852.85725377,494060.91733412,499901.80541169,278.97,97.61,175.75,99.32,84.82,84.20844,3.95561,6.91695,174.75,237.359746,166.8,0.019412,0.019043,0.2724,-0.271,-0.9232,0.837107,0.593442,0.084365,0.451187,0.888433,0.985351,-0.170396,-0.007033,0.148212,0.876011,-0.458953,194.81,8,1.0,950570000000000.0,-1876810000000000.0,-395868000000000.0,133960.0,4.2911
26000000000017,0,0,62929900000.0,74,500562.44929632,509877.03402837,497693.78304482,41.21,-254.86,83.06,97.49,61.45,11.81102,10.51688,5.67661,178.0,229.92033,168.22,0.006429,0.006093,0.1684,-0.2949,-0.9406,0.657261,0.591731,0.711519,-0.696873,0.090048,0.698024,0.686283,-0.204395,0.080639,0.208286,0.974738,189.74,8,1.0,890380000000000.0,-1637420000000000.0,-235700000000000.0,102635.0,6.12888
26000000000018,0,0,61424500000.0,72,495233.01795125,510983.18397999,488695.46502829,-18.54,-79.56,260.52,97.02,89.35,41.02665,10.24397,21.70647,164.07,227.696087,155.16,0.006584,0.005515,-0.2163,0.8806,0.4216,0.736042,0.440375,0.804989,-0.13442,0.577862,0.40632,0.834633,-0.371875,-0.432315,0.534152,0.726488,187.87,8,1.0,739423000000000.0,-1297930000000000.0,-604571000000000.0,76557.8,3.44869
26000000000019,0,0,55315200000.0,68,506152.82952786,504414.36171532,470770.5847919,-88.28,-18.29,224.54,93.55,41.03,38.13552,12.00107,13.39731,170.86,220.054675,147.95,0.048155,0.046094,-0.4887,-0.2546,-0.8345,0.728386,0.629732,0.219628,0.826501,-0.518323,0.925207,-0.007937,0.37938,0.309444,-0.562879,-0.766428,188.75,7,1.0,605434000000000.0,-1218990000000000.0,-249320000000000.0,68770.0,6.23856
26000000000020,0,0,61275800000.0,67,490986.99726164,503057.33457208,481151.13191307,-67.05,-75.13,392.17,96.31,36.91,21.37638,3.82165,13.01128,182.3,228.265551,174.31,0.021384,0.020427,0.8065,0.392,0.4426,0.688197,0.456744,-0.217452,0.976031,-0.008822,-0.426397,-0.08686,0.900356,0.878009,0.199546,0.435064,191.63,7,1.0,930855000000000.0,-1659180000000000.0,-358621000000000.0,128269.0,7.31004
26000000000021,0,0,56908300000.0,66,503047.85759553,498685.59189465,482000.95023798,-83.16,-88.98,256.7,93.19,33.0,31.13702,6.84633,7.8116,187.12,223.621768,180.95,0.035761,0.034898,0.3759,-0.2136,-0.9017,0.855486,0.552285,0.620169,-0.713207,0.326691,0.778653,0.509036,-0.366855,0.095346,0.481891,0.871028,196.4,7,1.0,931622000000000.0,-1609160000000000.0,-137975000000000.0,94442.4,9.22169
26000000000022,0,0,56435700000.0,64,480138.80565053,495278.60255468,482574.55939338,182.93,251.26,228.43,92.5,42.65,50.90028,6.87357,6.43668,175.98,223.526108,168.89,0.020078,0.019618,-0.7656,-0.474,0.435,0.794958,0.570886,0.840058,0.27601,0.467033,-0.454829,-0.1109,0.883647,-0.295689,0.954735,-0.032375,199.19,7,1.0,804891000000000.0,-1477920000000000.0,-231827000000000.0,100231.0,6.76087
26000000000023,0,0,52392000000.0,60,486401.89206961,490973.51684715,493716.86758417,175.52,312.13,233.31,93.67,53.46,36.48641,12.01578,2.92852,166.22,214.021412,150.85,0.020797,0.019436,0.8861,-0.1075,0.4509,0.716988,0.521751,-0.248425,-0.246584,0.93674,0.845376,0.416919,0.333943,-0.47289,0.874857,0.104883,178.08,7,1.0,596087000000000.0,-1120060000000000.0,-218966000000000.0,66570.7,6.24752
26000000000024,0,0,48821000000.0,58,486041.18648697,482716.33596981,478053.91164387,92.38,154.76,187.99,99.33,41.77,39.2344,6.57625,15.57324,179.14,200.621533,167.67,0.033166,0.036184,-0.2418,-0.1347,0.9609,0.784231,0.579018,0.529355,0.614817,0.584623,-0.760587,0.038605,0.648087,-0.375885,0.787725,-0.488057,139.14,7,1.0,686281000000000.0,-1270990000000000.0,-129728000000000.0,95393.9,12.2526
26000000000025,0,0,48821000000.0,58,498428.49280685,505352.48965025,476811.12401187,-95.99,-68.52,332.96,89.36,48.56,44.77361,12.64765,11.36098,166.95,211.517597,148.0,0.057537,0.05526,-0.676,0.6336,-0.3763,0.698617,0.60307,-0.581153,0.21338,0.785322,0.038639,0.971159,-0.235281,0.812877,0.10639,0.572637,191.1,7,1.0,534717000000000.0,-1038420000000000.0,-154566000000000.0,79407.4,6.85713
26000000000026,0,0,48112100000.0,55,489025.1150637,491298.4000914,498880.62206182,39.67,264.59,102.18,87.74,73.99,34.74153,2.90633,11.98977,153.48,211.909893,136.11,0.036556,0.035602,-0.145,0.9336,-0.3277,0.804738,0.678922,-0.244284,-0.074436,0.966843,0.196827,0.972488,0.124601,0.949518,-0.220739,0.222912,198.98,7,1.0,445668000000000.0,-957986000000000.0,-156614000000000.0,92664.9,3.66134
26000000000027,0,0,45013600000.0,55,521016.31760597,496630.20670414,492623.35598469,-325.62,-12.33,103.8,87.37,44.17,38.81086,10.3607,13.76092,163.09,205.39984,150.17,0.029399,0.028902,0.4138,-0.3097,0.8561,0.789741,0.565402,-0.177737,0.333514,0.925839,0.982772,0.011709,0.184449,0.050676,0.942673,-0.329849,188.5,7,1.0,507526000000000.0,-966355000000000.0,-182648000000000.0,71048.5,7.0847
26000000000028,0,0,45810200000.0,54,497188.25557293,495571.13112547,483057.66246258,14.22,188.45,316.43,87.55,74.59,44.96247,22.63509,5.08476,152.01,207.001615,129.87,0.029021,0.025347,-0.6376,0.7449,-0.1965,0.598508,0.444042,-0.237149,0.941249,-0.240437,0.611872,0.336956,0.715593,0.754568,0.022585,-0.655833,190.69,7,1.0,386348000000000.0,-760688000000000.0,-88050100000000.0,44820.0,4.19484
26000000000029,0,0,47875800000.0,54,511836.66031936,492198.11373744,502106.518581,-261.8,188.34,32.4,89.66,55.15,51.08313,7.4977,7.47645,157.02,209.11235,136.94,0.017912,0.017202,0.444,-0.8954,0.03301,0.877559,0.652119,0.627986,-0.510611,0.587291,-0.697475,-0.034537,0.715777,0.3452,0.859118,0.377827,185.54,7,1.0,448893000000000.0,-931616000000000.0,-163190000000000.0,63639.6,5.01338
26000000000030,0,0,46843000000.0,54,481052.40484764,511052.08232485,494608.41972252,187.82,-110.69,-75.4,87.46,53.68,51.95175,10.51687,1.97193,158.22,209.432126,141.87,0.022945,0.02125,0.2034,0.6541,-0.7286,0.718426,0.425106,-0.310806,0.925477,-0.216545,0.899366,0.212658,-0.38199,0.307473,0.313478,0.898438,195.6,7,1.0,471411000000000.0,-911970000000000.0,-187473000000000.0,66545.5,5.23424
26000000000031,26000000000001,0,42711700000.0,54,498240.40631453,495886.79439492,483625.16363462,78.29,37.73,336.52,70.33,61.92,13.31768,4.35245,6.22024,159.6,231.864821,137.07,0.041788,0.043601,0.7405,-0.6293,-0.2358,0.750505,0.688222,0.885311,-0.420493,0.198519,0.398555,0.906104,0.141877,-0.239537,-0.046485,0.969774,342.95,7,1.0,401233000000000.0,-979356000000000.0,-229287000000000.0,92768.2,3.14426
26000000000032,0,0,44777300000.0,54,505918.02299023,508585.82854271,495062.60976195,-141.54,-138.64,158.55,87.19,56.32,20.06868,8.59311,3.19804,164.56,205.078414,146.76,0.021045,0.022204,0.2175,-0.901,0.3753,0.867729,0.633118,-0.140569,0.869111,0.474221,0.94987,0.253486,-0.183005,0.279261,-0.424724,0.861175,188.71,7,1.0,482251000000000.0,-1006310000000000.0,-73145000000000.0,73839.2,7.49509
26000000000033,0,0,42239100000.0,52,511835.98382132,492404.38427244,502524.72928592,-270.41,21.66,-65.18,90.77,43.0,42.99958,11.94697,10.34555,183.5,195.211724,167.28,0.037624,0.039899,-0.2038,0.979,-0.009461,0.66823,0.565174,0.695116,0.299207,-0.653673,0.688341,-0.014734,0.725238,-0.207364,0.954075,0.216198,157.76,7,1.0,590981000000000.0,-1043530000000000.0,-57189400000000.0,75825.9,15.026
26000000000034,0,0,43035600000.0,51,508801.75431569,513066.06133779,501165.93837738,9.79,-215.89,-94.76,93.91,36.9,15.90062,7.52129,6.55712,168.81,193.72121,147.35,0.008883,0.009962,-0.4492,0.2463,-0.8588,0.80378,0.508709,0.654704,0.74763,0.111406,0.753348,-0.633316,-0.177138,0.061878,-0.1999,0.97786,145.15,7,1.0,467199000000000.0,-975018000000000.0,-88409600000000.0,78614.9,11.0557
26000000000035,0,0,42002800000.0,51,481596.23468244,513465.5865463,511615.7209551,106.2,-88.64,-143.37,85.74,33.82,33.82448,8.91404,6.79981,181.41,200.290148,155.7,0.025206,0.026896,0.1242,0.677,0.7255,0.758144,0.552931,0.613189,0.789521,0.0256,0.786181,-0.606797,-0.11712,0.076935,-0.091943,0.992788,186.12,7,1.0,509103000000000.0,-988714000000000.0,-89345200000000.0,73522.0,12.9845
26000000000036,0,0,43832200000.0,50,498812.12097226,493487.92343429,513348.84130593,-39.99,-69.46,-205.55,85.86,32.92,23.77429,8.48301,4.28404,179.54,204.462514,145.96,0.010786,0.011132,-0.1698,0.9689,-0.1799,0.574642,0.50998,0.669834,-0.601837,-0.434873,0.534094,-0.016334,0.845268,0.515817,0.798452,-0.310497,193.42,7,1.0,466909000000000.0,-954914000000000.0,-177872000000000.0,68323.4,11.4228
