ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW
32000000000001,0,1,445857000000.0,662,498267.25040163,495894.04889515,483963.07911192,-86.8,107.25,382.42,184.19,81.55,5.62848,5.62848,10.2873,359.92,417.02579,372.14,0.031532,0.03358,-0.7361,-0.5019,0.4542,0.842979,0.698018,0.63728,-0.071175,0.767339,0.572946,-0.622146,-0.533542,0.515372,0.779659,-0.355702,199.07,13,1.0,3.08735e+16,-5.28585e+16,-5197580000000000.0,515274.0,10.6051
32000000000002,0,0,308063000000.0,455,507866.09947681,512264.9896404,493359.39048425,-63.34,-218.66,159.16,163.82,109.74,88.65579,2.53409,7.74734,288.31,367.558358,302.89,0.028249,0.029812,0.5579,0.309,0.7702,0.835201,0.628922,0.739831,0.258296,-0.621236,0.318429,0.678968,0.661517,-0.592667,0.68723,-0.420073,195.48,12,1.0,1.41312e+16,-2.57193e+16,-3312890000000000.0,408101.0,6.61985
32000000000003,0,1,258158000000.0,341,520665.84022678,496609.99069408,492659.68860412,-328.68,-37.18,257.29,154.94,70.1,35.53473,6.25554,27.59485,274.04,345.986145,302.48,0.024478,0.019803,-0.5769,0.5485,0.6052,0.675567,0.480856,0.614477,0.102303,0.782274,0.221487,0.92931,-0.29551,-0.757207,0.354848,0.54838,193.64,12,1.0,1.18101e+16,-1.6867e+16,-3637750000000000.0,259528.0,6.98919
32000000000004,0,0,219078000000.0,305,491296.1347074,506556.44550556,498647.27222338,93.5,-134.34,-36.99,145.28,48.24,30.66326,2.41142,6.67304,281.72,329.145953,273.9,0.027216,0.028596,-0.2624,-0.6871,0.6775,0.664096,0.65319,-0.051613,-0.632713,0.772665,-0.670525,0.595323,0.442703,0.740089,0.495242,0.454976,199.32,11,1.0,8218050000000000.0,-1.47686e+16,-1694170000000000.0,298846.0,10.2223
32000000000005,0,0,205944000000.0,267,507438.75199673,510909.50825635,491981.77339984,-102.42,-153.31,244.47,142.75,71.01,33.92871,5.14643,16.7688,259.02,321.945878,264.51,0.041219,0.038802,0.4624,0.8289,-0.3149,0.711156,0.573243,-0.466654,0.386556,0.795493,0.762855,0.631037,0.140867,0.447533,-0.672582,0.589362,197.52,11,1.0,7204720000000000.0,-1.19336e+16,-2211270000000000.0,224430.0,7.6003
32000000000006,0,0,175980000000.0,238,505365.44182721,501618.53257348,509226.72187581,-39.04,-53.36,-369.53,135.97,22.88,26.5899,5.04591,5.43864,276.73,304.937578,253.82,0.02052,0.022025,-0.9074,-0.4115,0.08554,0.791758,0.500482,-0.253726,0.37805,0.890338,0.837986,-0.373824,0.397537,0.483118,0.846956,-0.221951,195.32,11,1.0,5668850000000000.0,-1.03816e+16,-1133400000000000.0,285527.0,13.0868
32000000000007,0,0,180676000000.0,229,512193.66987546,493253.2881697,500310.05342801,-360.5,55.99,36.07,137.56,45.11,92.13215,6.7493,12.38372,268.69,307.18027,262.89,0.05964,0.053488,0.1196,-0.566,-0.8157,0.583962,0.485078,0.602564,0.704708,0.374572,-0.481301,-0.053506,0.874921,0.636605,-0.707477,0.306936,193.63,11,1.0,6243200000000000.0,-9671350000000000.0,-1834560000000000.0,204904.0,11.2378
32000000000008,0,0,173297000000.0,222,495199.65052605,510945.70755959,488879.74023819,27.14,-115.95,303.29,134.86,106.95,55.29064,11.27749,18.06869,221.31,303.844585,221.05,0.083594,0.072752,-0.9712,-0.0801,0.2245,0.742576,0.425302,0.190775,-0.540774,0.819248,0.904047,0.421986,0.068026,-0.382498,0.727661,0.569389,197.12,11,1.0,4234040000000000.0,-7263570000000000.0,-2727020000000000.0,176586.0,3.8837
32000000000009,0,0,173621000000.0,220,497798.02312454,491601.26845042,494200.55250327,-20.87,261.66,245.25,134.85,71.78,31.15907,5.33905,18.40461,237.04,304.141291,238.11,0.01797,0.016425,0.9848,-0.03634,-0.1699,0.852269,0.61055,0.007889,0.153334,0.988143,0.999872,-0.014942,-0.005664,0.013896,0.988061,-0.153433,197.54,11,1.0,4921880000000000.0,-8276100000000000.0,-1645300000000000.0,246317.0,6.37959
32000000000010,0,0,157119000000.0,212,512686.57048543,500194.14722919,509622.32549985,-316.94,142.12,-176.4,132.16,27.8,24.55516,5.60702,8.42555,253.05,292.247506,240.94,0.019838,0.020442,-0.8215,-0.2328,0.5206,0.883029,0.568688,0.719539,-0.642378,-0.263847,0.15795,-0.218594,0.962948,0.676252,0.734553,0.055824,189.87,10,1.0,4560390000000000.0,-8122530000000000.0,-1513910000000000.0,313919.0,10.7558
