ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW
22000000000001,0,0,78456600000.0,96,507954.97406613,512519.03989098,493115.10676687,-80.25,-156.45,150.81,103.58,87.9,6.80274,4.36227,18.42793,192.6,260.974034,180.58,0.016404,0.015811,-0.3783,-0.925,-0.03442,0.790776,0.594513,-0.307935,0.40558,0.860628,0.94848,0.059958,0.311113,0.07458,0.912091,-0.403148,197.32,8,1.0,1279260000000000.0,-2520350000000000.0,-543632000000000.0,146452.0,4.38138
22000000000002,0,0,73791700000.0,85,491168.04465956,506729.3789922,498715.06192246,82.79,-122.83,-39.67,105.25,72.34,68.86497,12.96253,6.78042,191.58,251.087105,181.26,0.059346,0.050784,-0.6585,-0.6547,0.3711,0.742884,0.600878,-0.472889,0.74687,-0.467506,-0.849821,-0.246434,0.465913,0.232767,0.617621,0.751241,176.92,8,1.0,1212190000000000.0,-2063870000000000.0,-397050000000000.0,78994.7,5.59612
22000000000003,0,0,61188200000.0,71,506414.28785665,500844.91499833,494833.78550836,-105.23,81.4,136.2,96.71,17.27,81.92646,4.15397,7.48143,214.89,238.52005,182.06,0.088681,0.091942,0.9981,0.06203,-0.0004508,0.933374,0.673603,-0.49683,0.04541,0.866659,0.811041,-0.331069,0.482293,0.308825,0.942513,0.127656,189.09,7,1.0,1014100000000000.0,-1949570000000000.0,-380394000000000.0,130454.0,12.7092
22000000000004,0,0,52952300000.0,58,490045.6248103,486999.75255373,516759.49064461,37.94,80.24,-40.39,93.66,40.59,18.40423,9.69492,13.56248,178.53,225.466442,167.04,0.02454,0.022774,-0.9427,-0.3196,0.0953,0.812238,0.698102,-0.249037,0.900867,-0.355554,0.953756,0.16432,-0.251693,0.168317,0.401792,0.900129,180.13,7,1.0,738739000000000.0,-1318350000000000.0,-330216000000000.0,82834.4,6.97875
22000000000005,0,0,55017900000.0,58,521096.59380383,496661.7508067,492297.7934281,-310.47,-15.61,248.33,92.26,83.88,69.62037,10.59019,13.93316,166.58,231.560237,164.52,0.03547,0.028117,0.65,-0.7539,-0.09547,0.798554,0.399951,0.828493,-0.055122,0.557279,0.298528,0.885425,-0.356236,-0.473792,0.461503,0.750024,195.81,7,1.0,744555000000000.0,-1207990000000000.0,-594646000000000.0,73330.0,3.3793
22000000000006,0,0,46843000000.0,54,505384.72867594,501697.27424296,509670.85506858,-29.53,-48.53,-328.43,86.83,62.53,53.89846,8.77568,4.5029,158.18,220.244391,145.2,0.0457,0.037328,-0.9948,-0.06038,-0.0819,0.428656,0.378428,-0.48453,0.514451,0.70751,-0.018585,0.802554,-0.596289,0.874577,0.30207,0.379301,199.98,7,1.0,493814000000000.0,-872812000000000.0,-252393000000000.0,59859.7,3.30692
22000000000007,0,0,41530200000.0,49,498456.37922937,495804.25024033,483523.73865518,-171.36,38.23,306.95,88.02,70.55,41.27426,8.242,9.01857,156.2,205.98143,138.57,0.03766,0.033637,-0.9983,0.02001,0.0548,0.925852,0.458577,-0.09707,0.178023,0.979227,0.924443,-0.348405,0.15498,0.368758,0.920283,-0.130752,170.25,6,1.0,398726000000000.0,-750165000000000.0,-256603000000000.0,60033.2,5.37004
22000000000008,0,0,42326800000.0,48,496437.41796414,511659.02614594,491432.93624123,-31.77,-196.63,139.21,89.73,37.56,74.94609,5.23978,14.13208,158.28,234.696202,152.29,0.044735,0.046933,-0.9042,-0.2533,-0.3438,0.544055,0.468674,0.661636,0.146671,0.73534,0.73311,-0.332447,-0.59332,0.157439,0.931647,-0.327485,163.76,6,1.0,490816000000000.0,-984837000000000.0,-249994000000000.0,79623.1,5.85952
22000000000009,0,0,39788500000.0,46,512739.20499917,491535.7421745,496324.34230862,-212.57,158.65,123.31,82.57,25.62,61.2875,5.46913,3.15217,177.32,208.161645,159.56,0.029507,0.031275,-0.8398,-0.5313,-0.112,0.675997,0.46656,0.102665,0.534448,0.838943,-0.682367,0.651505,-0.331537,0.723765,0.538429,-0.431577,197.58,6,1.0,506490000000000.0,-990693000000000.0,-150465000000000.0,91755.6,10.0059
22000000000010,0,0,39552200000.0,45,500560.42415755,509999.58174569,497651.38221639,17.96,-228.68,85.0,83.83,29.17,17.27462,10.79174,7.52728,184.96,205.976932,167.62,0.062722,0.066052,-0.04222,0.1295,0.9907,0.582393,0.431693,-0.481559,0.874397,-0.059425,0.502652,0.331099,0.79857,0.717943,0.354689,-0.598961,187.68,6,1.0,555652000000000.0,-1020910000000000.0,-112149000000000.0,82603.3,12.5383
22000000000011,0,0,37014000000.0,43,497816.80587799,491271.96496533,493875.91692709,-7.25,254.34,231.79,80.44,43.84,43.58022,1.79827,3.57477,175.54,203.412083,157.24,0.030567,0.033917,0.293,0.7868,0.5432,0.780316,0.549999,-0.039996,0.428692,0.902565,0.919815,-0.337047,0.200848,0.390309,0.838226,-0.380837,198.78,6,1.0,457561000000000.0,-928965000000000.0,-52690800000000.0,148216.0,10.6006
22000000000012,0,0,39079600000.0,43,498218.59462695,495851.41377016,483439.13934448,34.54,86.02,315.15,83.31,77.08,45.38217,3.45048,2.40005,148.04,208.807448,149.63,0.067975,0.062321,-0.1007,0.7203,0.6863,0.462953,0.362442,0.938443,-0.041652,0.342913,-0.124524,0.885167,0.448301,-0.322208,-0.463406,0.825492,188.92,6,1.0,437477000000000.0,-783869000000000.0,-352409000000000.0,90536.5,3.46585
22000000000013,0,0,40112500000.0,43,513091.90193812,500044.45402711,509852.88619995,-306.2,106.05,-178.05,82.66,46.23,43.65519,10.42811,5.76747,164.96,208.892725,150.54,0.035278,0.033993,0.9993,0.02545,0.02745,0.687876,0.372955,0.795337,-0.417428,-0.439536,0.294232,-0.368106,0.882001,0.529968,0.830814,0.169948,198.53,6,1.0,454508000000000.0,-860807000000000.0,-211438000000000.0,71608.1,6.87578
22000000000014,0,0,38046800000.0,43,483990.46764654,503803.6108017,508125.03169565,25.44,-123.76,-105.88,82.39,62.1,19.52397,10.18032,13.17447,151.15,203.767733,140.0,0.033264,0.03033,0.1383,-0.1086,0.9844,0.646751,0.506189,0.547285,0.729341,-0.410536,0.693914,-0.12117,0.709789,0.467934,-0.673334,-0.572415,190.12,6,1.0,372878000000000.0,-701230000000000.0,-140160000000000.0,59354.1,4.56792
22000000000015,0,0,34239500000.0,40,495969.17033195,511292.06418991,488419.08216476,-149.79,-174.82,292.99,83.32,12.62,12.44601,7.49571,6.06239,184.83,192.227557,156.02,0.022204,0.023875,-0.6048,-0.4722,0.6413,0.681617,0.492338,0.579165,0.634944,-0.511286,0.542294,0.168208,0.823179,-0.608675,0.754024,0.246906,165.46,6,1.0,416718000000000.0,-782418000000000.0,-128204000000000.0,80360.4,16.3699
22000000000016,0,0,32497800000.0,37,511985.1662053,492087.08107471,502085.51685015,-248.86,181.89,31.8,83.84,47.61,34.10768,4.44065,10.47251,152.84,186.696341,139.65,0.013507,0.012995,-0.1325,-0.4947,-0.8589,0.641445,0.550875,-0.602122,0.602699,-0.523644,0.176166,0.73999,0.649138,0.778726,0.298612,-0.551739,154.16,6,1.0,316874000000000.0,-579006000000000.0,-66168700000000.0,68588.7,8.30019
22000000000017,0,0,29399300000.0,37,488405.49588203,490801.08647997,497300.15071956,14.87,250.7,180.98,78.54,32.72,26.33832,2.89807,11.03017,147.57,183.464124,133.35,0.040511,0.047293,-0.2825,0.6539,-0.7019,0.842946,0.452592,0.508322,0.317674,0.800432,0.024415,0.923784,-0.382135,0.860821,-0.213791,-0.461824,169.62,6,1.0,261373000000000.0,-598533000000000.0,-65475600000000.0,99536.4,7.59134
22000000000018,0,0,30195800000.0,36,489002.78188564,491156.55598817,498819.32360155,43.19,246.71,114.06,76.73,38.19,35.69959,10.70594,3.98527,163.36,188.107869,143.14,0.024025,0.024242,-0.07669,0.3236,-0.9431,0.721859,0.427695,0.253801,0.963354,0.086796,0.900334,-0.20249,-0.385222,0.35353,-0.175916,0.918733,186.81,6,1.0,309360000000000.0,-581318000000000.0,-33977000000000.0,55674.5,10.8953
22000000000019,0,0,30992400000.0,35,503101.65115765,498731.58761433,481861.19539397,-91.17,-84.09,265.04,76.52,64.79,63.02258,2.48347,4.87879,142.47,190.837488,120.21,0.035612,0.033925,0.4539,0.3984,-0.797,0.836692,0.504965,0.611817,-0.4499,0.650592,0.732931,0.63176,-0.252372,-0.297476,0.631245,0.716267,193.34,6,1.0,223917000000000.0,-479987000000000.0,-169808000000000.0,80391.1,4.80221
22000000000020,0,0,29959500000.0,35,521197.43046553,496623.67934766,492574.60106974,-328.97,13.93,117.23,79.02,49.74,40.70351,8.90973,7.09253,150.94,184.64488,126.57,0.029599,0.031084,-0.5559,0.7476,0.3634,0.942358,0.648803,-0.533925,0.728187,0.42973,0.487994,-0.149662,0.859921,0.690497,0.668839,-0.275443,169.75,6,1.0,239981000000000.0,-521604000000000.0,-46405200000000.0,54573.7,8.24124
22000000000021,0,0,32025200000.0,35,480029.42055464,495151.47060156,482453.87077332,187.2,240.43,209.07,77.21,46.64,33.59704,12.12899,4.40778,155.88,193.121352,142.31,0.043751,0.041423,-0.953,0.1169,-0.2793,0.498997,0.359373,0.478842,0.168125,0.861652,0.840194,-0.372326,-0.394269,0.254529,0.912747,-0.319543,194.47,6,1.0,324299000000000.0,-591964000000000.0,-52681600000000.0,57108.1,7.72863
