ID,numProgenitors,ProgenitorsID
121000000000001,39,"120000000000001,120000000002986,120000000011330,120000000013095,120000000003014,120000000016651,120000000017502,120000000018724,120000000018712,120000000020406,120000000022162,120000000021959,120000000021898,120000000023026,120000000022250,120000000022169,120000000023705,120000000024370,120000000024619,120000000024475,120000000024529,120000000025294,120000000025121,120000000025688,120000000025197,120000000025119,120000000025435,120000000025334,120000000025331,120000000024950,120000000025484,120000000025823,120000000024977,120000000024902,120000000025754,120000000025737,120000000026034,120000000025760,120000000004826"
121000000000002,11,"120000000000002,120000000013525,120000000021673,120000000023253,120000000024653,120000000023988,120000000024406,120000000024772,120000000003321,120000000003609,120000000018437"
121000000000003,4,"120000000000003,120000000015885,120000000025348,120000000025305"
121000000000004,6,"120000000000004,120000000015322,120000000023762,120000000025289,120000000024742,120000000024738"
121000000000005,3,"120000000000005,120000000003109,120000000010065"
121000000000006,3,"120000000000006,120000000018555,120000000022029"
121000000000007,1,120000000000008
121000000000008,1,120000000000007
121000000000009,1,120000000000012
121000000000010,5,"120000000000009,120000000017959,120000000017948,120000000018452,120000000017708"
121000000000011,1,120000000000010
121000000000012,1,120000000000011
121000000000013,1,120000000000013
121000000000014,1,120000000000014
121000000000015,2,"120000000000015,120000000007000"
121000000000016,2,"120000000000016,120000000022683"
121000000000017,2,"120000000000017,120000000022446"
121000000000018,1,120000000000018
121000000000019,2,"120000000000029,120000000023875"
121000000000020,2,"120000000000019,120000000005539"
121000000000021,1,120000000000040
121000000000022,2,"120000000000022,120000000003804"
121000000000023,1,120000000000021
121000000000024,1,120000000000020
121000000000025,1,120000000000023
121000000000026,3,"120000000000024,120000000012903,120000000025612"
121000000000027,1,120000000000025
121000000000028,1,120000000000026
121000000000029,1,120000000000027
121000000000030,2,"120000000000032,120000000000600"
121000000000031,1,120000000000031
121000000000032,2,"120000000000033,120000000022818"
121000000000033,2,"120000000000035,120000000004543"
121000000000034,1,120000000000030
121000000000035,2,"120000000000028,120000000004449"
121000000000036,1,120000000000037
121000000000037,1,120000000000036
121000000000038,2,"120000000000045,120000000004238"
121000000000039,1,120000000000034
121000000000040,1,120000000000038
121000000000041,3,"120000000000039,120000000013804,120000000015083"
121000000000042,2,"120000000000041,120000000025565"
121000000000043,1,120000000000067
