ID,numProgenitors,ProgenitorsID
126000000000001,33,"125000000000001,125000000010269,125000000013157,125000000015272,125000000016411,125000000016745,125000000021942,125000000021181,125000000020970,125000000022458,125000000022797,125000000022506,125000000022808,125000000022112,125000000024326,125000000024238,125000000024361,125000000024139,125000000024077,125000000024899,125000000024966,125000000025619,125000000025271,125000000025542,125000000025156,125000000024733,125000000025814,125000000025768,125000000024781,125000000024674,125000000024718,125000000025809,125000000024653"
126000000000002,5,"125000000000002,125000000000093,125000000015974,125000000024218,125000000002406"
126000000000003,2,"125000000000003,125000000025785"
126000000000004,6,"125000000000004,125000000005888,125000000010043,125000000013641,125000000017130,125000000016866"
126000000000005,5,"125000000000005,125000000018318,125000000024518,125000000024528,125000000024522"
126000000000006,2,"125000000000006,125000000025858"
126000000000008,4,"125000000000007,125000000001703,125000000024252,125000000024247"
126000000000009,1,125000000000009
126000000000010,2,"125000000000014,125000000004747"
126000000000011,1,125000000000010
126000000000012,1,125000000000011
126000000000013,2,"125000000000012,125000000021128"
126000000000014,2,"125000000000015,125000000000203"
126000000000015,2,"125000000000017,125000000025668"
126000000000016,3,"125000000000016,125000000006620,125000000022742"
126000000000017,1,125000000000018
126000000000018,2,"125000000000019,125000000003884"
126000000000019,4,"125000000000020,125000000009229,125000000021816,125000000022095"
126000000000020,1,125000000000021
126000000000021,2,"125000000000008,125000000001918"
126000000000022,1,125000000000022
126000000000023,1,125000000000025
126000000000024,2,"125000000000027,125000000003964"
126000000000025,1,125000000000026
126000000000026,2,"125000000000023,125000000021852"
126000000000027,2,"125000000000028,125000000000308"
126000000000028,3,"125000000000029,125000000005693,125000000025676"
126000000000029,2,"125000000000030,125000000006544"
126000000000030,3,"125000000000031,125000000002010,125000000024375"
126000000000031,1,125000000000032
126000000000032,1,125000000000036
126000000000033,2,"125000000000033,125000000025078"
126000000000034,1,125000000000034
126000000000035,1,125000000000041
126000000000036,1,125000000000037
126000000000037,2,"125000000000039,125000000002559"
126000000000038,1,125000000000038
