ID,numProgenitors,ProgenitorsID
86000000000001,5,"85000000000001,85000000011571,85000000019098,85000000019075,85000000019899"
86000000000002,5,"85000000000003,85000000000891,85000000013238,85000000019041,85000000010521"
86000000000003,3,"85000000000002,85000000022320,85000000011104"
86000000000004,3,"85000000000005,85000000017122,85000000007242"
86000000000005,3,"85000000000004,85000000016760,85000000006777"
86000000000006,2,"85000000000007,85000000021275"
86000000000007,2,"85000000000006,85000000004703"
86000000000009,1,85000000000008
86000000000010,2,"85000000000009,85000000022376"
86000000000011,4,"85000000000010,85000000001891,85000000002908,85000000009455"
86000000000012,2,"85000000000011,85000000022289"
86000000000013,2,"85000000000012,85000000020796"
86000000000014,2,"85000000000018,85000000009488"
86000000000015,1,85000000000014
86000000000016,2,"85000000000019,85000000020037"
86000000000017,2,"85000000000013,85000000020553"
86000000000018,3,"85000000000015,85000000014141,85000000022830"
86000000000019,2,"85000000000017,85000000016405"
86000000000020,1,85000000000020
86000000000021,2,"85000000000021,85000000021615"
86000000000022,5,"85000000000025,85000000003337,85000000004797,85000000016680,85000000022632"
86000000000023,3,"85000000000022,85000000008719,85000000011578"
86000000000024,2,"85000000000023,85000000015375"
86000000000025,2,"85000000000024,85000000004945"
86000000000026,1,85000000000026
86000000000027,1,85000000000027
86000000000028,1,85000000000029
86000000000029,2,"85000000000028,85000000019628"
86000000000030,1,85000000000031
86000000000031,1,85000000000032
86000000000032,2,"85000000000036,85000000021383"
86000000000033,1,85000000000034
86000000000034,2,"85000000000037,85000000009545"
86000000000035,2,"85000000000033,85000000008380"
86000000000036,2,"85000000000040,85000000009333"
86000000000037,1,85000000000039
86000000000038,1,85000000000035
86000000000039,1,85000000000038
86000000000040,2,"85000000000041,85000000013308"
86000000000041,3,"85000000000016,85000000006232,85000000012118"
86000000000042,3,"85000000000045,85000000007334,85000000013942"
86000000000043,2,"85000000000043,85000000008640"
86000000000044,2,"85000000000044,85000000008408"
86000000000045,1,85000000000042
86000000000046,1,85000000000046
86000000000047,1,85000000000050
86000000000048,1,85000000000049
86000000000049,1,85000000000048
86000000000050,1,85000000000047
86000000000051,1,85000000000051
86000000000053,2,"85000000000052,85000000022108"
86000000000054,1,85000000000064
86000000000055,1,85000000000053
86000000000056,1,85000000000054
86000000000057,1,85000000000057
86000000000058,1,85000000000060
86000000000059,2,"85000000000055,85000000007506"
86000000000060,3,"85000000000059,85000000007341,85000000013509"
86000000000061,1,85000000000058
86000000000062,2,"85000000000062,85000000018458"
86000000000063,1,85000000000066
86000000000064,2,"85000000000063,85000000005157"
86000000000065,1,85000000000065
86000000000066,1,85000000000067
86000000000067,2,"85000000000068,85000000004918"
86000000000068,1,85000000000070
86000000000069,1,85000000000072
86000000000070,1,85000000000105
86000000000071,2,"85000000000069,85000000000538"
86000000000072,2,"85000000000089,85000000013039"
86000000000073,2,"85000000000071,85000000007410"
86000000000074,1,85000000000109
86000000000075,1,85000000000061
86000000000076,1,85000000000077
86000000000077,2,"85000000000078,85000000017998"
86000000000078,3,"85000000000076,85000000005819,85000000016584"
86000000000079,1,85000000000073
86000000000080,1,85000000000075
