ID,numProgenitors,ProgenitorsID
79000000000001,2,"78000000000001,78000000000209"
79000000000002,2,"78000000000003,78000000016568"
79000000000003,2,"78000000000002,78000000006499"
79000000000004,3,"78000000000004,78000000014001,78000000005565"
79000000000005,3,"78000000000005,78000000004396,78000000021929"
79000000000006,1,78000000000007
79000000000007,2,"78000000000006,78000000005535"
79000000000008,4,"78000000000010,78000000005171,78000000020425,78000000007903"
79000000000009,1,78000000000009
79000000000010,3,"78000000000012,78000000001811,78000000005815"
79000000000011,2,"78000000000011,78000000022374"
79000000000012,1,78000000000013
79000000000013,4,"78000000000015,78000000009135,78000000018152,78000000007288"
79000000000014,1,78000000000018
79000000000015,2,"78000000000014,78000000018155"
79000000000016,1,78000000000008
79000000000017,2,"78000000000032,78000000013749"
79000000000018,1,78000000000016
79000000000019,1,78000000000019
79000000000020,2,"78000000000021,78000000016302"
79000000000021,4,"78000000000020,78000000001759,78000000017534,78000000021237"
79000000000022,1,78000000000024
79000000000023,3,"78000000000023,78000000010059,78000000016914"
79000000000024,1,78000000000022
79000000000025,1,78000000000037
79000000000026,4,"78000000000029,78000000005365,78000000013799,78000000017205"
79000000000027,1,78000000000017
79000000000028,1,78000000000033
79000000000029,1,78000000000026
79000000000030,2,"78000000000030,78000000010003"
79000000000031,1,78000000000027
79000000000032,2,"78000000000038,78000000006250"
79000000000033,2,"78000000000028,78000000016677"
79000000000034,2,"78000000000025,78000000015595"
79000000000035,1,78000000000031
79000000000036,1,78000000000034
79000000000037,1,78000000000039
79000000000038,1,78000000000035
79000000000039,1,78000000000040
79000000000040,3,"78000000000036,78000000019498,78000000021190"
79000000000041,1,78000000000043
79000000000042,1,78000000000041
79000000000043,1,78000000000042
79000000000044,2,"78000000000044,78000000021834"
79000000000045,2,"78000000000054,78000000020290"
79000000000046,1,78000000000046
79000000000047,2,"78000000000045,78000000019043"
79000000000048,1,78000000000047
79000000000049,2,"78000000000048,78000000013068"
79000000000050,2,"78000000000053,78000000015021"
79000000000051,3,"78000000000049,78000000009403,78000000012032"
79000000000052,2,"78000000000050,78000000005252"
79000000000053,2,"78000000000052,78000000009993"
79000000000054,1,78000000000051
79000000000055,1,78000000000055
79000000000056,1,78000000000057
79000000000057,1,78000000000056
79000000000058,1,78000000000059
79000000000059,1,78000000000058
79000000000060,1,78000000000060
79000000000061,2,"78000000000062,78000000006104"
79000000000062,2,"78000000000061,78000000018993"
79000000000063,1,78000000000070
79000000000064,3,"78000000000065,78000000006156,78000000014667"
79000000000065,1,78000000000063
79000000000066,2,"78000000000067,78000000004134"
79000000000067,1,78000000000064
79000000000068,2,"78000000000066,78000000002274"
79000000000069,2,"78000000000072,78000000020903"
79000000000070,1,78000000000069
79000000000071,1,78000000000075
79000000000072,2,"78000000000076,78000000010783"
79000000000073,1,78000000000073
79000000000074,1,78000000000078
79000000000075,1,78000000000077
79000000000076,1,78000000000068
79000000000077,1,78000000000071
79000000000078,2,"78000000000081,78000000009820"
79000000000079,1,78000000000079
79000000000080,1,78000000000084
79000000000082,1,78000000000083
79000000000083,3,"78000000000082,78000000003848,78000000004131"
79000000000084,1,78000000000085
79000000000085,1,78000000000126
79000000000086,1,78000000000094
79000000000087,1,78000000000117
79000000000088,2,"78000000000086,78000000020486"
79000000000089,1,78000000000088
79000000000090,3,"78000000000074,78000000006269,78000000005275"
79000000000092,2,"78000000000090,78000000005269"
79000000000093,2,"78000000000107,78000000013096"
79000000000094,1,78000000000121
79000000000095,1,78000000000089
79000000000096,1,78000000000092
79000000000097,2,"78000000000087,78000000003727"
79000000000098,1,78000000000098
79000000000099,1,78000000000099
79000000000100,1,78000000000096
79000000000101,1,78000000000093
79000000000102,1,78000000000091
79000000000103,1,78000000000097
79000000000104,1,78000000000108
79000000000105,1,78000000000100
79000000000106,1,78000000000103
79000000000107,1,78000000000110
79000000000109,2,"78000000000115,78000000005687"
79000000000110,2,"78000000000095,78000000021120"
79000000000111,2,"78000000000104,78000000008775"
79000000000112,1,78000000000106
79000000000113,2,"78000000000113,78000000006807"
79000000000114,1,78000000000102
79000000000115,1,78000000000080
79000000000116,1,78000000000112
79000000000117,1,78000000000111
79000000000118,1,78000000000109
79000000000119,3,"78000000000122,78000000014965,78000000005839"
79000000000120,2,"78000000000132,78000000012147"
79000000000121,2,"78000000000123,78000000010652"
79000000000122,1,78000000000105
79000000000123,1,78000000000131
79000000000124,2,"78000000000130,78000000011914"
79000000000125,1,78000000000116
79000000000126,1,78000000000118
79000000000127,1,78000000000243
79000000000128,1,78000000000124
79000000000129,3,"78000000000119,78000000004704,78000000008972"
79000000000130,2,"78000000000127,78000000005821"
79000000000131,1,78000000000125
79000000000132,1,78000000000128
79000000000133,1,78000000000139
79000000000134,1,78000000000138
79000000000135,1,78000000000136
79000000000136,1,78000000000129
79000000000137,1,78000000000141
79000000000138,1,78000000000176
79000000000139,2,"78000000000135,78000000002766"
79000000000140,1,78000000000133
79000000000141,1,78000000000153
79000000000142,1,78000000000145
79000000000143,1,78000000000134
79000000000144,1,78000000000151
79000000000145,3,"78000000000149,78000000001195,78000000007252"
79000000000146,1,78000000000140
79000000000147,1,78000000000114
79000000000148,2,"78000000000174,78000000000473"
79000000000149,1,78000000000137
79000000000150,1,78000000000147
79000000000151,1,78000000000148
79000000000152,1,78000000000152
79000000000153,1,78000000000160
79000000000154,1,78000000000143
79000000000155,1,78000000000146
79000000000156,1,78000000000155
79000000000157,2,"78000000000144,78000000011725"
79000000000158,2,"78000000000154,78000000011679"
79000000000159,1,78000000000142
79000000000160,1,78000000000208
79000000000161,1,78000000000184
79000000000162,1,78000000000150
79000000000163,1,78000000000165
79000000000164,1,78000000000157
79000000000165,1,78000000000177
79000000000166,2,"78000000000158,78000000014296"
