ID,numProgenitors,ProgenitorsID
121000000000001,26,"120000000000001,120000000007669,120000000010817,120000000013139,120000000013974,120000000014358,120000000017061,120000000017849,120000000017860,120000000019900,120000000019994,120000000020862,120000000022310,120000000022150,120000000022611,120000000023651,120000000023314,120000000024225,120000000024167,120000000024256,120000000024253,120000000024472,120000000025175,120000000006393,120000000024371,120000000002755"
121000000000002,9,"120000000000002,120000000019724,120000000021689,120000000022896,120000000024040,120000000024566,120000000024388,120000000025187,120000000004102"
121000000000003,6,"120000000000003,120000000005297,120000000010899,120000000013000,120000000020424,120000000023750"
121000000000004,4,"120000000000004,120000000021806,120000000024995,120000000003838"
121000000000005,7,"120000000000005,120000000001420,120000000015292,120000000018860,120000000020168,120000000019704,120000000022838"
121000000000006,2,"120000000000006,120000000015199"
121000000000007,5,"120000000000007,120000000008753,120000000021474,120000000025249,120000000004841"
121000000000008,3,"120000000000009,120000000017372,120000000023618"
121000000000009,1,120000000000010
121000000000010,2,"120000000000011,120000000001545"
121000000000011,2,"120000000000012,120000000003736"
121000000000012,4,"120000000000014,120000000005586,120000000019870,120000000024785"
121000000000013,1,120000000000013
121000000000014,1,120000000000015
121000000000015,3,"120000000000016,120000000017528,120000000004713"
121000000000016,1,120000000000021
121000000000017,5,"120000000000017,120000000001821,120000000006232,120000000024651,120000000024650"
121000000000018,1,120000000000018
121000000000019,2,"120000000000020,120000000010490"
121000000000020,1,120000000000019
121000000000021,1,120000000000022
121000000000022,1,120000000000032
121000000000023,2,"120000000000023,120000000024640"
121000000000024,1,120000000000031
121000000000025,2,"120000000000026,120000000024332"
121000000000026,1,120000000000027
121000000000027,2,"120000000000029,120000000005601"
121000000000028,1,120000000000028
121000000000029,1,120000000000030
121000000000030,2,"120000000000033,120000000006422"
121000000000031,1,120000000000034
121000000000033,3,"120000000000025,120000000011298,120000000005099"
121000000000034,1,120000000000035
121000000000035,1,120000000000036
121000000000036,1,120000000000024
121000000000037,1,120000000000041
121000000000038,3,"120000000000038,120000000005926,120000000025016"
121000000000039,1,120000000000039
121000000000040,2,"120000000000066,120000000002955"
121000000000041,1,120000000000044
121000000000042,3,"120000000000040,120000000000267,120000000024665"
121000000000043,1,120000000000042
