ID,numProgenitors,ProgenitorsID
101000000000002,7,"100000000000001,100000000009071,100000000012112,100000000015821,100000000015902,100000000019920,100000000005016"
101000000000003,10,"100000000000002,100000000012886,100000000015197,100000000020417,100000000019907,100000000021888,100000000021905,100000000005473,100000000020434,100000000005901"
101000000000004,4,"100000000000004,100000000003381,100000000020834,100000000004662"
101000000000005,6,"100000000000003,100000000016029,100000000017375,100000000018781,100000000020078,100000000021995"
101000000000006,3,"100000000000010,100000000018582,100000000019462"
101000000000007,4,"100000000000005,100000000000125,100000000016305,100000000021660"
101000000000008,4,"100000000000007,100000000016583,100000000018139,100000000020798"
101000000000009,8,"100000000000009,100000000015176,100000000018380,100000000019824,100000000020452,100000000013662,100000000007074,100000000004698"
101000000000010,1,100000000000011
101000000000011,3,"100000000000012,100000000016573,100000000018695"
101000000000012,1,100000000000013
101000000000013,2,"100000000000014,100000000007403"
101000000000014,2,"100000000000015,100000000016938"
101000000000015,2,"100000000000017,100000000008956"
101000000000016,1,100000000000016
101000000000017,1,100000000000018
101000000000018,1,100000000000021
101000000000019,1,100000000000020
101000000000020,1,100000000000022
101000000000021,2,"100000000000027,100000000014861"
101000000000022,2,"100000000000019,100000000020412"
101000000000023,2,"100000000000023,100000000018125"
101000000000024,1,100000000000025
101000000000025,5,"100000000000053,100000000000006,100000000009919,100000000018317,100000000007269"
101000000000026,2,"100000000000031,100000000004563"
101000000000027,1,100000000000029
101000000000028,2,"100000000000028,100000000014215"
101000000000029,2,"100000000000026,100000000010831"
101000000000030,1,100000000000030
101000000000031,2,"100000000000033,100000000010511"
101000000000032,2,"100000000000036,100000000002387"
101000000000033,2,"100000000000032,100000000012373"
101000000000034,1,100000000000037
101000000000035,1,100000000000038
101000000000036,1,100000000000039
101000000000037,1,100000000000034
101000000000038,1,100000000000041
101000000000039,2,"100000000000043,100000000021373"
101000000000040,1,100000000000035
101000000000041,2,"100000000000046,100000000006016"
101000000000042,2,"100000000000044,100000000019820"
101000000000043,1,100000000000045
101000000000044,1,100000000000049
101000000000045,2,"100000000000050,100000000005544"
101000000000046,3,"100000000000048,100000000016456,100000000016710"
101000000000047,1,100000000000052
101000000000048,1,100000000000047
101000000000049,1,100000000000042
101000000000050,2,"100000000000065,100000000012582"
101000000000051,2,"100000000000024,100000000017128"
101000000000052,2,"100000000000051,100000000006014"
101000000000053,1,100000000000055
101000000000054,1,100000000000054
101000000000055,1,100000000000057
101000000000056,2,"100000000000058,100000000003901"
101000000000057,1,100000000000056
101000000000058,1,100000000000059
101000000000059,2,"100000000000063,100000000008486"
101000000000060,1,100000000000062
101000000000061,1,100000000000064
101000000000062,1,100000000000066
101000000000063,1,100000000000067
101000000000064,2,"100000000000068,100000000005512"
101000000000066,1,100000000000072
101000000000067,1,100000000000069
101000000000068,1,100000000000070
101000000000069,1,100000000000079
101000000000070,1,100000000000060
101000000000071,1,100000000000071
101000000000072,2,"100000000000075,100000000007319"
101000000000073,1,100000000000076
101000000000074,1,100000000000077
101000000000075,2,"100000000000073,100000000006036"
101000000000076,1,100000000000078
101000000000077,1,100000000000080
101000000000078,1,100000000000081
101000000000079,1,100000000000102
101000000000080,1,100000000000083
101000000000081,1,100000000000082
101000000000082,1,100000000000074
101000000000083,1,100000000000084
101000000000084,2,"100000000000089,100000000015292"
101000000000085,1,100000000000087
101000000000086,2,"100000000000097,100000000015619"
101000000000087,1,100000000000088
101000000000088,1,100000000000085
101000000000089,1,100000000000091
101000000000090,1,100000000000096
101000000000091,1,100000000000101
101000000000092,1,100000000000092
101000000000093,1,100000000000095
101000000000094,1,100000000000094
101000000000095,2,"100000000000090,100000000006540"
101000000000096,1,100000000000093
101000000000097,1,100000000000099
101000000000098,2,"100000000000040,100000000006445"
101000000000099,1,100000000000098
101000000000100,1,100000000000108
101000000000101,1,100000000000100
101000000000102,1,100000000000103
101000000000103,1,100000000000109
101000000000105,2,"100000000000128,100000000008587"
101000000000106,1,100000000000112
101000000000107,2,"100000000000106,100000000007060"
101000000000108,1,100000000000104
101000000000109,2,"100000000000107,100000000022004"
101000000000110,1,100000000000110
101000000000111,1,100000000000111
101000000000112,1,100000000000120
101000000000113,2,"100000000000117,100000000005862"
101000000000114,1,100000000000114
101000000000115,1,100000000000113
101000000000116,1,100000000000121
101000000000117,1,100000000000115
101000000000118,1,100000000000118
101000000000119,1,100000000000123
101000000000120,1,100000000000116
101000000000121,1,100000000000124
101000000000122,1,100000000000126
101000000000123,1,100000000000122
101000000000124,1,100000000000178
101000000000125,1,100000000000119
101000000000126,1,100000000000136
101000000000127,1,100000000000150
101000000000128,3,"100000000000127,100000000005502,100000000020255"
101000000000129,1,100000000000129
101000000000130,1,100000000000131
101000000000131,1,100000000000134
101000000000132,2,"100000000000133,100000000009045"
101000000000133,1,100000000000132
101000000000134,1,100000000000173
101000000000135,2,"100000000000138,100000000013933"
101000000000136,1,100000000000086
101000000000137,2,"100000000000139,100000000007262"
101000000000138,2,"100000000000140,100000000003538"
101000000000139,1,100000000000142
101000000000140,1,100000000000135
101000000000141,1,100000000000144
101000000000142,1,100000000000141
101000000000143,1,100000000000145
101000000000144,1,100000000000148
101000000000145,2,"100000000000170,100000000006715"
101000000000146,2,"100000000000147,100000000010700"
101000000000147,1,100000000000146
101000000000148,1,100000000000149
101000000000149,1,100000000000153
101000000000150,1,100000000000143
101000000000151,1,100000000000214
101000000000152,1,100000000000151
101000000000153,1,100000000000154
101000000000154,1,100000000000152
101000000000155,1,100000000000130
101000000000156,1,100000000000155
101000000000157,1,100000000000158
101000000000158,1,100000000000156
101000000000159,1,100000000000184
101000000000160,2,"100000000000165,100000000019072"
101000000000161,2,"100000000000160,100000000007671"
101000000000162,1,100000000000161
101000000000163,2,"100000000000164,100000000009540"
101000000000164,1,100000000000159
101000000000165,1,100000000000162
101000000000166,1,100000000000163
101000000000167,1,100000000000167
101000000000168,1,100000000000137
101000000000169,1,100000000000166
101000000000170,1,100000000000169
101000000000171,1,100000000000172
101000000000172,1,100000000000177
