ID,numProgenitors,ProgenitorsID
102000000000001,8,"101000000000001,101000000010823,101000000011552,101000000013967,101000000018982,101000000020177,101000000022000,101000000020327"
102000000000002,8,"101000000000003,101000000015022,101000000016061,101000000017056,101000000019019,101000000021746,101000000021422,101000000021425"
102000000000003,5,"101000000000002,101000000016187,101000000020308,101000000004825,101000000005823"
102000000000004,5,"101000000000004,101000000002408,101000000021243,101000000021955,101000000005902"
102000000000005,8,"101000000000006,101000000004881,101000000012945,101000000017576,101000000019458,101000000020797,101000000021886,101000000005387"
102000000000006,4,"101000000000005,101000000002355,101000000016756,101000000022151"
102000000000007,5,"101000000000008,101000000017517,101000000019608,101000000019952,101000000017418"
102000000000008,7,"101000000000007,101000000012088,101000000014855,101000000016411,101000000019802,101000000020903,101000000021561"
102000000000009,3,"101000000000009,101000000021830,101000000005537"
102000000000010,1,101000000000013
102000000000011,3,"101000000000010,101000000011696,101000000020682"
102000000000012,3,"101000000000011,101000000019850,101000000005673"
102000000000013,1,101000000000012
102000000000014,5,"101000000000014,101000000002366,101000000013232,101000000018075,101000000021777"
102000000000015,2,"101000000000015,101000000003904"
102000000000016,1,101000000000016
102000000000017,2,"101000000000017,101000000001129"
102000000000018,1,101000000000018
102000000000019,2,"101000000000019,101000000016869"
102000000000020,2,"101000000000021,101000000020129"
102000000000021,1,101000000000020
102000000000022,2,"101000000000023,101000000005388"
102000000000023,3,"101000000000026,101000000004049,101000000018130"
102000000000024,1,101000000000024
102000000000025,2,"101000000000027,101000000020979"
102000000000026,2,"101000000000028,101000000005210"
102000000000027,3,"101000000000029,101000000010723,101000000014963"
102000000000028,1,101000000000031
102000000000029,1,101000000000032
102000000000030,2,"101000000000030,101000000015422"
102000000000031,1,101000000000022
102000000000032,1,101000000000034
102000000000033,1,101000000000035
102000000000034,1,101000000000065
102000000000035,1,101000000000036
102000000000036,3,"101000000000039,101000000004862,101000000006109"
102000000000037,1,101000000000041
102000000000038,3,"101000000000038,101000000006027,101000000021203"
102000000000039,1,101000000000033
102000000000040,2,"101000000000042,101000000016257"
102000000000041,1,101000000000045
102000000000042,3,"101000000000043,101000000000671,101000000005394"
