ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW,numProgenitors,ProgenitorsID,redshift,snapshot
27000000000001,0,1,234634000000.0,298,498333.96077156,495825.58075587,483714.82690175,-102.02,95.27,351.79,149.38,62.06,37.74727,3.08187,8.92654,276.48,355.311697,287.2,0.025297,0.021772,-0.5989,-0.7946,-0.09942,0.717855,0.564829,-0.618033,0.658956,-0.428733,0.083941,0.597552,0.797424,0.781658,0.456846,-0.42462,196.6,11,1.0,9676460000000000.0,-1.51616e+16,-3122280000000000.0,283702.0,6.3184,1,[26000000000001],8.345,27
27000000000002,0,0,189087000000.0,232,507918.30037321,512395.81831864,493221.2552854,-71.86,-182.93,169.48,139.1,41.97,20.24776,2.8782,7.83549,250.04,330.53736,253.44,0.0239,0.021911,0.7011,0.07055,0.7095,0.743457,0.590486,-0.24624,0.21143,0.945866,0.884032,0.449053,0.129766,-0.397308,0.86813,-0.297486,196.2,11,1.0,6072540000000000.0,-1.04134e+16,-2270890000000000.0,256839.0,5.28125,1,[26000000000002],8.345,27
27000000000003,0,0,125361000000.0,159,491225.29318838,506650.14801603,498674.89211487,90.71,-139.43,-31.93,121.24,83.35,60.62664,10.67492,3.13243,225.34,288.284099,208.58,0.015093,0.014606,0.6753,-0.2947,0.6761,0.80269,0.619924,0.190944,0.791597,-0.580444,-0.872818,0.407486,0.268596,0.449142,0.455335,0.768727,196.47,10,1.0,2727060000000000.0,-5166470000000000.0,-724479000000000.0,142066.0,6.48852,1,[26000000000003],8.345,27
27000000000004,0,0,108328000000.0,135,506336.16307203,500902.38802573,494930.13147046,-123.14,82.8,141.85,114.88,105.62,38.00143,6.37475,10.90958,198.97,275.297573,178.78,0.010597,0.009773,0.701,-0.5898,0.4009,0.74492,0.657793,-0.203984,0.282398,0.937359,-0.284487,0.899072,-0.332772,0.936727,0.334546,0.103058,199.54,9,1.0,1731220000000000.0,-3477020000000000.0,-1390620000000000.0,126696.0,3.57628,1,[26000000000004],8.345,27
27000000000005,0,0,106911000000.0,129,505372.08820644,501661.48888437,509457.21645104,-33.01,-60.08,-337.69,114.43,42.97,112.77084,7.54301,9.34989,212.97,274.035696,203.9,0.030708,0.029461,-0.9805,-0.0181,-0.1954,0.798868,0.58581,0.746461,-0.493996,-0.44583,0.428027,-0.156542,0.890106,0.5095,0.855256,-0.094591,199.3,9,1.0,2222460000000000.0,-4069840000000000.0,-1064990000000000.0,142690.0,6.27214,1,[26000000000007],8.345,27
27000000000006,0,1,99768600000.0,125,507464.09202877,510991.40079398,491856.80088244,-70.79,-134.46,192.89,111.9,67.13,34.68322,5.33493,27.89299,203.64,267.695834,194.56,0.026091,0.022591,-0.2465,0.1193,-0.9618,0.507629,0.42812,0.710486,-0.326274,-0.623502,0.511957,0.847549,0.139863,0.482815,-0.418576,0.76921,198.87,9,1.0,1888210000000000.0,-3228150000000000.0,-945954000000000.0,114272.0,5.48644,1,[26000000000011],8.345,27
27000000000007,0,0,97230400000.0,123,520904.25718398,496630.22728193,492482.04060963,-332.79,-24.71,274.54,110.68,78.91,85.48664,3.46091,19.17452,196.44,267.445978,194.09,0.058255,0.053879,-0.5975,-0.7645,0.2417,0.658235,0.462315,0.647779,-0.004286,0.761816,0.170394,0.975466,-0.139399,0.742528,-0.220109,-0.632617,200.3,9,1.0,1831440000000000.0,-3299630000000000.0,-934996000000000.0,148197.0,4.44481,1,[26000000000006],8.345,27
27000000000008,0,0,95252400000.0,119,512884.32799853,500117.00850267,509730.62790357,-306.01,110.57,-168.63,110.82,38.99,46.64602,3.47551,5.84413,242.37,262.838421,231.69,0.020188,0.020603,-0.7981,-0.3946,-0.4553,0.920818,0.521708,-0.067778,-0.134615,0.988577,0.832116,-0.554296,-0.018428,0.550445,0.821361,0.149584,195.47,9,1.0,2556610000000000.0,-4270160000000000.0,-239235000000000.0,180819.0,13.9471,1,[26000000000005],8.345,27
27000000000009,0,0,97081700000.0,118,507677.79555814,495318.19183251,488563.93838751,-142.11,85.69,162.76,111.4,57.36,52.75789,11.73524,11.46025,212.62,264.656928,192.0,0.03245,0.029116,0.3786,0.2092,-0.9016,0.884817,0.604487,0.959668,-0.248176,-0.132081,0.223461,0.958453,-0.177292,0.170593,0.140627,0.975255,196.12,9,1.0,1789390000000000.0,-3157980000000000.0,-765585000000000.0,96741.3,7.54284,1,[26000000000014],8.345,27
27000000000010,0,0,89082100000.0,106,512595.32570839,491646.99361875,496409.65576355,-229.95,184.9,135.55,108.67,47.11,67.90544,7.52255,9.8733,212.53,256.679221,203.04,0.011629,0.011197,0.1734,-0.7687,-0.6157,0.93081,0.530298,-0.334544,0.928233,0.162675,0.333186,-0.044968,0.941788,0.881514,0.369271,-0.29423,193.85,9,1.0,1836240000000000.0,-3196470000000000.0,-205967000000000.0,129105.0,8.7725,1,[26000000000008],8.345,27
