ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW,numProgenitors,ProgenitorsID,redshift,snapshot
41000000000001,0,0,1089550000000.0,2087,498136.18141075,496054.72713498,484490.86984421,-91.17,127.2,425.33,247.5,156.26,69.64731,1.98511,16.2046,397.95,509.784081,436.33,0.035423,0.038856,-0.8768,-0.07139,0.4754,0.737792,0.544103,0.121758,0.381448,0.916337,0.984199,-0.165974,-0.061685,0.128558,0.909368,-0.395629,199.87,17,1.0,1.03718e+17,-1.88889e+17,-2.00381e+16,1013420.0,6.43853,1,[40000000000001],5.864,41
41000000000002,0,1,648060000000.0,1202,507777.52856492,511981.76621448,493549.62445059,-95.43,-262.73,160.47,208.47,116.44,12.867,2.70811,16.18617,326.03,428.38918,346.28,0.008806,0.009591,-0.9149,0.3702,-0.1609,0.638305,0.619705,-0.568483,-0.263619,0.779315,-0.15273,0.964622,0.214892,0.808394,-0.003138,0.588634,198.94,15,1.0,3.88537e+16,-7.41257e+16,-1.27786e+16,668500.0,5.50285,1,[40000000000002],5.864,41
41000000000003,0,0,522681000000.0,1021,520242.27948416,496543.38899113,492996.7494238,-355.6,-44.46,245.17,194.04,46.04,19.03491,3.7203,6.5815,368.32,398.771878,342.42,0.020535,0.02492,-0.3708,0.9056,-0.2059,0.842146,0.585473,0.563998,0.533031,0.630701,0.093724,-0.800152,0.592429,0.82044,-0.275017,-0.501242,198.97,15,1.0,3.06423e+16,-6.12444e+16,-6220980000000000.0,705239.0,14.0359,1,[40000000000003],5.864,41
41000000000004,0,1,639663000000.0,973,509753.88426047,494053.63912766,502123.86021247,-241.86,57.76,57.51,207.34,131.66,20.12687,5.91451,6.13052,333.88,426.769611,358.63,0.043316,0.042219,-0.03175,0.8762,0.4809,0.709008,0.681088,0.765431,-0.559145,-0.318546,0.413675,0.048354,0.90914,0.492938,0.827658,-0.268316,199.6,15,1.0,4.11364e+16,-6.88055e+16,-1.25119e+16,465039.0,6.52061,1,[40000000000005],5.864,41
41000000000005,0,1,592370000000.0,962,497748.30616437,491976.64799599,494620.98227097,-19.56,296.96,230.06,202.56,95.45,57.14481,2.37646,19.0817,362.72,415.508403,384.52,0.017484,0.016844,-0.0006633,0.7894,0.6139,0.740898,0.530331,-0.571918,0.18269,0.799709,0.820013,0.101046,0.563355,0.022113,0.977964,-0.207598,198.25,14,1.0,4.3793e+16,-6.75211e+16,-7671540000000000.0,536556.0,11.1408,1,[40000000000004],5.864,41
41000000000006,0,0,531947000000.0,952,491421.26860667,506391.6992168,498598.24624597,114.1,-143.34,-45.6,195.39,61.18,7.17866,2.34959,11.19616,337.5,400.899469,337.09,0.016751,0.019065,0.1037,-0.3158,0.9431,0.746707,0.671608,-0.338442,0.714028,-0.612879,-0.482468,0.427514,0.764497,0.807887,0.554433,0.199807,198.33,14,1.0,3.02217e+16,-5.79095e+16,-7448200000000000.0,595337.0,9.48434,1,[40000000000006],5.864,41
41000000000007,0,1,542551000000.0,852,511684.19306095,493269.32277435,500306.84853211,-353.02,77.0,90.5,200.41,113.16,74.15519,4.30361,17.55462,328.58,399.779798,352.71,0.045153,0.044354,-0.3828,-0.803,0.4568,0.778624,0.544493,0.453137,0.570023,0.685377,-0.823064,-0.027775,0.567269,-0.342393,0.821159,-0.456579,187.48,14,1.0,3.37486e+16,-5.46666e+16,-7798630000000000.0,433606.0,8.4636,1,[40000000000007],5.864,41
41000000000008,0,1,543426000000.0,829,511316.5024668,504476.4444232,508391.03721082,-254.45,-172.45,-49.22,197.46,69.23,103.83408,5.07904,16.00978,343.46,403.070869,361.91,0.01528,0.015445,0.8291,0.4298,0.3576,0.957741,0.684134,0.145282,0.852598,-0.501966,0.983393,-0.06866,0.168001,-0.108772,0.518038,0.848414,196.3,14,1.0,3.55893e+16,-5.81387e+16,-8329780000000000.0,485155.0,10.0208,2,"[40000000000009, 40000000000712]",5.864,41
41000000000009,0,2,556109000000.0,829,511245.18049275,492502.68332797,502287.77034151,-371.52,159.11,-45.24,197.84,99.27,75.85372,2.70711,18.82569,331.2,407.36329,342.55,0.07789,0.067713,0.9764,-0.1836,0.1134,0.808957,0.676043,-0.378539,-0.453268,0.807004,0.799479,-0.599471,0.038306,0.466413,0.659684,0.589302,199.75,14,1.0,3.26266e+16,-5.00622e+16,-7389910000000000.0,378057.0,8.01889,1,[40000000000008],5.864,41
41000000000010,0,0,418217000000.0,762,507317.11602602,510686.0389475,492315.58109893,-103.14,-190.01,283.41,180.06,72.22,65.91961,5.68726,13.49213,306.13,370.291243,304.85,0.039403,0.042461,0.4827,0.7398,-0.4688,0.710018,0.571408,0.336228,0.61134,0.716389,0.934132,-0.119736,-0.336245,0.119782,-0.782257,0.611331,199.24,14,1.0,1.94327e+16,-3.60802e+16,-6225550000000000.0,425070.0,8.70759,1,[40000000000010],5.864,41
