ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW,numProgenitors,ProgenitorsID,redshift,snapshot
21000000000001,0,0,73231500000.0,87,507962.55740252,512529.95837819,493107.16444796,-72.99,-156.6,151.67,101.65,84.9,73.84807,3.14248,19.11713,191.55,256.912695,186.58,0.019579,0.017361,-0.6109,-0.6268,-0.4836,0.730877,0.460489,-0.322244,0.331657,0.886658,0.941243,0.212277,0.262679,-0.101097,0.919207,-0.380575,194.92,8,1.0,1274620000000000.0,-2224750000000000.0,-762751000000000.0,131443.0,4.75521,1,[20000000000001],9.651,21
21000000000002,0,0,65555800000.0,72,491165.83132162,506737.21476299,498719.72494009,86.83,-121.1,-38.74,97.92,64.47,59.66736,14.6901,1.25536,182.6,247.663917,176.55,0.059405,0.046113,-0.6968,-0.6506,0.3019,0.733786,0.485455,0.691673,-0.670039,0.269512,-0.630071,-0.377445,0.678636,0.352986,0.639205,0.68324,195.2,8,1.0,1021680000000000.0,-1627410000000000.0,-585361000000000.0,70424.1,4.34557,1,[20000000000003],9.651,21
21000000000003,0,0,58177400000.0,67,506427.01983452,500833.80937576,494823.91774654,-103.53,79.25,136.22,97.12,52.84,24.29599,4.95501,8.6816,178.35,234.270176,173.12,0.096677,0.095082,0.9869,0.1131,0.115,0.83688,0.647026,-0.243127,0.089767,0.965832,0.826081,-0.502725,0.254673,0.508409,0.859773,0.048071,177.55,7,1.0,871758000000000.0,-1643870000000000.0,-331155000000000.0,115558.0,5.51255,1,[20000000000002],9.651,21
21000000000004,0,0,46694300000.0,49,490057.08284676,486983.21729898,516762.88619637,35.78,66.83,-39.63,89.34,70.44,60.75114,7.09064,13.08821,161.99,218.818821,152.74,0.049674,0.043262,-0.7904,-0.6096,-0.06051,0.759205,0.658633,-0.288834,0.830935,-0.475523,-0.937378,-0.144452,0.316948,0.194673,0.537291,0.820623,183.03,6,1.0,544661000000000.0,-968628000000000.0,-255668000000000.0,72905.1,4.4948,1,[20000000000005],9.651,21
21000000000005,0,0,40024800000.0,47,505393.31679994,501690.04093517,509688.34080479,-28.36,-44.14,-304.75,84.47,76.06,72.33983,12.43876,5.35608,151.84,208.351047,141.42,0.048561,0.038206,-0.9268,0.2434,-0.2861,0.418074,0.34937,-0.484377,0.460835,0.743646,-0.319034,0.698439,-0.640625,0.814614,0.547552,0.191286,185.63,6,1.0,400221000000000.0,-669101000000000.0,-217668000000000.0,51837.3,3.90758,1,[20000000000004],9.651,21
21000000000006,0,0,39315900000.0,44,512762.06307941,491517.78993783,496309.00113671,-210.48,157.78,124.12,84.17,28.24,28.24011,4.32934,5.1687,174.22,206.861633,152.21,0.026227,0.025601,-0.8859,-0.4619,-0.0427,0.633838,0.404261,0.08793,0.543208,0.834981,-0.473107,0.760426,-0.444884,0.876606,0.355917,-0.32386,184.28,6,1.0,455441000000000.0,-856177000000000.0,-214624000000000.0,88441.1,9.50299,1,[20000000000008],9.651,21
21000000000007,0,0,40348800000.0,44,496431.95420504,511675.03744364,491413.40454419,-32.46,-194.0,139.97,82.85,58.13,50.30818,9.99741,9.30444,157.1,211.233216,143.39,0.041597,0.038,-0.8052,-0.4787,-0.3501,0.530388,0.465185,0.633911,0.166233,0.75533,0.773383,-0.143787,-0.617418,0.005971,0.975547,-0.21971,198.36,6,1.0,414771000000000.0,-790381000000000.0,-208771000000000.0,63510.0,4.66418,1,[20000000000006],9.651,21
21000000000008,0,0,34239500000.0,40,497824.91581781,491242.77170215,493851.44455092,-8.52,256.37,229.9,78.45,34.97,23.87279,4.70272,5.64639,184.56,199.961078,165.39,0.02365,0.024854,0.03657,0.9808,-0.1914,0.847447,0.656702,-0.147966,0.097406,0.984184,0.804925,-0.566342,0.177067,0.574632,0.818394,0.005394,198.22,6,1.0,468305000000000.0,-846288000000000.0,-52972100000000.0,82992.1,13.9978,1,[20000000000009],9.651,21
21000000000009,0,0,36068800000.0,39,500552.45482005,510027.57824384,497643.44440057,24.63,-220.42,81.89,81.26,43.52,40.71534,8.55303,3.66302,173.33,201.652743,157.52,0.021355,0.021092,-0.633,0.6386,0.4376,0.485705,0.409943,-0.535569,0.834233,-0.131226,0.257892,0.309534,0.915249,0.80415,0.456337,-0.380919,187.89,6,1.0,447500000000000.0,-805202000000000.0,-44727500000000.0,71418.1,10.4155,1,[20000000000007],9.651,21
21000000000010,0,0,33766900000.0,38,513117.9690361,500037.91939129,509875.85837191,-307.76,94.31,-186.94,79.42,37.83,28.21778,7.35517,10.85704,160.09,197.358696,143.06,0.013655,0.012882,0.8479,-0.5007,-0.174,0.703855,0.511105,0.872115,-0.487773,-0.038634,-0.023166,-0.12003,0.9925,0.488752,0.864679,0.11598,188.4,6,1.0,345518000000000.0,-638197000000000.0,-215251000000000.0,64629.6,7.92562,1,[20000000000013],9.651,21
21000000000011,0,0,29399300000.0,37,488400.41529565,490770.58122272,497274.30655843,14.93,248.44,178.45,79.58,40.65,34.25902,5.43799,3.04553,158.99,183.975812,138.96,0.037449,0.041009,-0.3105,0.5256,-0.7921,0.788351,0.465191,0.572259,-0.128817,0.809893,0.280252,0.958847,-0.045514,0.7707,-0.25302,-0.584809,163.09,6,1.0,283833000000000.0,-582149000000000.0,-23159600000000.0,73244.7,10.6662,1,[20000000000014],9.651,21
