ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW,numProgenitors,ProgenitorsID,redshift,snapshot
28000000000001,0,0,240613000000.0,355,513050.31608528,509226.35575415,504928.76180461,-274.99,-237.19,-96.52,150.03,83.01,140.07139,6.4288,21.07494,284.33,354.856625,301.03,0.037591,0.038007,0.7167,0.5086,-0.4771,0.573552,0.50187,-0.458405,0.699048,0.548814,0.68953,-0.109862,0.715876,0.560725,0.706585,-0.431653,198.95,12,1.0,1.09019e+16,-1.86452e+16,-2374870000000000.0,363499.0,7.43763,1,[27000000000001],8.129,28
28000000000002,0,0,270054000000.0,345,495319.31236938,512939.00940153,497803.88893905,-24.23,-172.54,133.77,155.66,86.02,77.77875,6.96234,32.42083,270.84,372.661357,298.76,0.026025,0.018423,0.248,-0.5216,0.8164,0.752123,0.487082,0.256346,0.659376,-0.70676,0.22976,0.668668,0.707173,0.938881,-0.343666,0.019912,199.93,12,1.0,1.20523e+16,-1.66612e+16,-8401110000000000.0,227467.0,4.16948,1,[27000000000005],8.129,28
28000000000003,0,0,191580000000.0,262,503375.12095769,482909.39132373,509289.76933161,-75.85,207.67,-239.11,139.48,32.89,22.91783,3.03946,11.5921,269.85,328.402081,247.27,0.019534,0.02004,-0.6965,0.7169,-0.03078,0.708724,0.546239,0.80387,0.180466,-0.566767,-0.188111,0.981089,0.045586,0.564276,0.06997,0.822616,197.16,11,1.0,5857030000000000.0,-1.12932e+16,-2443240000000000.0,350137.0,8.4539,2,"[27000000000004, 27000000000154]",8.129,28
28000000000004,0,0,192307000000.0,253,502871.33455276,483060.65584932,509626.87815939,60.15,161.62,-283.12,140.31,90.41,70.40461,8.17402,10.86905,255.4,328.049891,248.64,0.029665,0.028559,0.7539,0.5922,-0.2846,0.863069,0.64943,0.776633,-0.165997,-0.607689,-0.04011,0.94967,-0.310675,0.628674,0.265655,0.730887,194.41,11,1.0,5944170000000000.0,-1.07397e+16,-1764940000000000.0,268647.0,6.33855,1,[27000000000002],8.129,28
28000000000005,0,0,193664000000.0,247,495357.02466965,513241.48774147,498021.00360394,73.51,-308.66,-7.43,139.45,96.07,67.57822,3.79159,17.34789,233.11,332.681761,252.63,0.065506,0.04939,0.08994,0.8791,0.4681,0.778852,0.559533,0.112928,0.950518,0.289418,0.814379,0.078332,-0.575023,0.569241,-0.300632,0.765236,199.4,11,1.0,6179900000000000.0,-9181050000000000.0,-3634600000000000.0,192563.0,-1.0,2,"[27000000000008, 27000000000226]",8.129,28
28000000000006,0,0,189144000000.0,244,501476.96102367,485516.30447893,481700.39583655,26.18,-33.02,143.43,139.62,50.18,12.60194,5.06995,7.66917,265.35,326.143169,260.58,0.026497,0.025452,0.5845,0.7134,0.3865,0.733463,0.596985,0.700269,-0.127792,-0.702348,0.712029,0.054245,0.700051,0.051362,0.990317,-0.128977,194.06,11,1.0,6421670000000000.0,-1.10626e+16,-1541170000000000.0,322505.0,8.04799,1,[27000000000003],8.129,28
28000000000007,0,0,162908000000.0,217,497880.72705269,516934.17983396,497228.49364792,-64.08,-274.91,71.41,137.12,37.37,25.74289,4.69267,6.86827,280.86,305.426606,266.73,0.017405,0.019335,-0.4533,-0.8654,0.2136,0.810057,0.621384,0.814057,0.422504,0.398499,-0.57063,0.454103,0.684231,-0.108131,0.784398,-0.610759,176.45,10,1.0,5794940000000000.0,-1.04833e+16,-776187000000000.0,309914.0,13.7956,1,[27000000000006],8.129,28
28000000000008,0,0,167127000000.0,209,506406.12244606,491113.55543137,519345.33119202,-130.48,127.05,-448.59,134.06,69.98,24.90005,5.37987,6.06698,251.81,312.86717,242.79,0.0168,0.015668,-0.2657,0.72,0.6411,0.692612,0.549681,0.652505,-0.670781,0.352549,-0.646512,-0.250085,0.72075,0.395298,0.69822,0.596849,193.7,10,1.0,4925950000000000.0,-8483360000000000.0,-1876550000000000.0,219876.0,7.61373,1,[27000000000009],8.129,28
28000000000009,0,0,139294000000.0,185,478785.03203392,497888.36985827,491933.07757378,69.94,3.24,157.9,125.55,85.66,71.54176,4.78021,11.31361,234.15,295.144588,229.98,0.025814,0.027898,-0.115,0.6362,0.7629,0.78776,0.592271,-0.273492,0.757219,0.593146,0.708357,-0.258618,0.65677,0.650717,0.59978,-0.465651,196.52,10,1.0,3683630000000000.0,-7226630000000000.0,-781662000000000.0,262223.0,7.05262,1,[27000000000007],8.129,28
28000000000010,0,0,136695000000.0,172,491003.27160623,505923.29767015,484280.36106957,25.26,-2.0,329.15,124.47,68.64,11.04795,10.81609,17.13666,227.81,293.649722,217.7,0.018218,0.016986,0.6741,-0.6727,-0.305,0.825491,0.6209,0.658735,0.15008,0.737255,-0.371257,0.917135,0.14502,0.654398,0.369241,-0.659867,197.95,10,1.0,3239110000000000.0,-5800770000000000.0,-1131240000000000.0,199170.0,6.20648,1,[27000000000010],8.129,28
28000000000011,0,0,124591000000.0,147,501478.53295008,509769.73109775,487191.24661552,-55.02,-180.33,335.52,122.25,46.5,17.63008,10.90566,8.80169,225.53,282.876018,221.94,0.016265,0.014984,0.9718,0.1069,0.2103,0.689753,0.533649,0.408772,0.788474,-0.459581,0.740092,0.008268,0.672455,0.534013,-0.615013,-0.580163,190.41,9,1.0,3068630000000000.0,-5183840000000000.0,-1361750000000000.0,147445.0,7.24363,1,[27000000000013],8.129,28
28000000000012,0,1,112048000000.0,142,508364.40722148,499498.09908867,517954.60383097,-148.88,-160.77,-272.02,116.1,114.86,84.83343,9.16051,29.58997,194.38,277.151375,185.18,0.053365,0.040718,-0.09932,0.1771,-0.9792,0.660603,0.404883,0.754859,0.407937,0.51359,-0.404532,-0.326799,0.854141,-0.516276,0.85252,0.081664,199.94,9,1.0,1921110000000000.0,-3156940000000000.0,-1729450000000000.0,101485.0,-1.0,0,[-1],8.129,28
28000000000013,0,0,110779000000.0,141,493915.55786133,504772.1862793,506282.80639648,307.11,-172.13,-318.0,116.2,59.98,52.17399,7.86584,14.15769,215.96,273.594221,201.5,0.036765,0.035146,0.02146,-0.5244,-0.8512,0.647345,0.543511,0.983116,0.168512,0.071318,-0.176172,0.766326,0.617825,0.049458,-0.619958,0.783075,197.15,9,1.0,2249030000000000.0,-4143610000000000.0,-661521000000000.0,138124.0,6.85936,1,[27000000000012],8.129,28
28000000000014,0,0,112608000000.0,140,502080.71072896,482294.1104571,504138.31869761,-71.54,132.81,150.92,117.64,77.79,77.6352,11.35501,31.52206,200.48,274.147548,204.46,0.062287,0.046576,0.4771,-0.8548,-0.204,0.584938,0.495157,0.535383,0.836642,-0.115737,0.712324,-0.373641,0.594127,-0.453827,0.400528,0.796001,193.12,9,1.0,2353770000000000.0,-3536820000000000.0,-1228440000000000.0,108087.0,4.0389,1,[27000000000011],8.129,28
