ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW,numProgenitors,ProgenitorsID,redshift,snapshot
22000000000001,0,0,135426000000.0,172,513239.88607952,509424.98445511,504994.50308936,-241.78,-250.71,-77.47,123.97,44.0,30.87983,8.55634,3.65136,251.44,313.414573,239.04,0.012296,0.012509,-0.7667,-0.6241,0.1507,0.683881,0.549133,-0.277088,0.552516,0.786097,-0.460458,0.641712,-0.613339,0.843327,0.531913,-0.0766,198.68,10,1.0,3869010000000000.0,-7310530000000000.0,-1294300000000000.0,261245.0,7.48688,1,[21000000000001],9.454,22
22000000000002,0,0,96757800000.0,121,503443.52589713,482758.73064995,509472.74433242,-78.24,176.05,-218.73,116.35,77.81,63.39331,4.10576,12.93706,221.05,273.457668,214.9,0.023614,0.023879,-0.2862,0.9178,-0.2753,0.83326,0.52932,-0.134697,0.970172,-0.201551,-0.690492,0.053986,0.721322,0.710688,0.236329,0.662625,171.72,9,1.0,2234180000000000.0,-4083920000000000.0,-677686000000000.0,213894.0,7.78758,1,[21000000000002],9.454,22
22000000000003,0,0,97642000000.0,116,497940.98900424,517144.95155546,497178.95521058,-62.07,-257.87,53.17,111.85,44.29,20.02711,10.17668,4.05297,240.35,280.177589,229.41,0.020526,0.020083,-0.6191,-0.6724,0.4056,0.705902,0.493723,0.828593,0.257847,0.49694,-0.553381,0.242647,0.796801,-0.084872,0.935221,-0.343743,195.06,9,1.0,2569460000000000.0,-4403800000000000.0,-411872000000000.0,153270.0,10.326,1,[21000000000003],9.454,22
22000000000004,0,0,83060500000.0,98,501419.99909752,485557.1232344,481604.30318431,59.89,-49.27,149.07,106.0,29.52,20.53664,10.02196,7.84611,231.3,265.44568,223.99,0.01412,0.013151,-0.7356,0.1468,-0.6613,0.66377,0.54852,0.576708,-0.417297,-0.702333,0.809327,0.17466,0.560789,0.111346,0.891828,-0.438457,194.95,8,1.0,2083690000000000.0,-3352930000000000.0,-429358000000000.0,140979.0,11.0542,1,[21000000000006],9.454,22
22000000000005,0,0,75918400000.0,94,478707.57662017,497921.05576088,491840.41701514,76.73,-22.95,135.13,102.04,46.05,6.8856,6.96153,5.46628,210.73,258.64816,192.68,0.01064,0.010912,0.873,-0.4686,0.1349,0.701019,0.428957,-0.053708,0.753683,0.65504,0.878202,-0.276566,0.39022,0.475264,0.596216,-0.647032,199.72,8,1.0,1409270000000000.0,-2744780000000000.0,-415867000000000.0,133767.0,8.1047,1,[21000000000004],9.454,22
22000000000006,0,0,78544200000.0,92,502819.35117461,482937.0433634,509843.4984684,69.98,131.27,-243.67,104.95,74.02,41.09896,8.93372,10.07437,195.51,259.415092,188.09,0.034281,0.031275,0.3735,0.5187,-0.769,0.905787,0.560515,0.720654,0.310853,-0.619699,-0.276708,0.948531,0.154016,0.635681,0.060483,0.769579,189.93,8,1.0,1389360000000000.0,-2489240000000000.0,-476878000000000.0,120222.0,5.14768,1,[21000000000005],9.454,22
22000000000007,0,0,59770400000.0,65,490983.08384418,505935.74132238,484041.92285878,27.14,-12.21,315.85,96.28,32.8,32.80249,4.356,10.82861,188.47,236.27071,177.73,0.017554,0.017588,-0.3599,-0.7781,0.5148,0.801403,0.492594,0.778458,-0.228636,0.584576,0.317175,0.94694,-0.052008,-0.541668,0.225899,0.80967,187.21,7,1.0,943993000000000.0,-1781420000000000.0,-533679000000000.0,122074.0,7.26378,1,[21000000000008],9.454,22
22000000000008,0,0,47079300000.0,55,497541.21154547,491098.90560309,503203.54352395,19.51,86.04,35.73,88.85,26.12,75.5695,13.17728,15.33294,157.15,218.27472,149.7,0.037145,0.03298,0.7562,-0.5973,-0.2671,0.793606,0.671839,-0.190421,-0.515262,0.835611,-0.40637,0.816208,0.410693,0.893646,0.261362,0.36481,187.59,7,1.0,527523000000000.0,-969581000000000.0,-396011000000000.0,65551.2,3.41437,1,[21000000000015],9.454,22
22000000000009,0,0,47875800000.0,54,493696.99295078,504918.24533258,506528.51377215,257.0,-179.25,-295.68,88.14,30.12,16.64298,8.46375,8.13858,172.32,221.004905,163.01,0.049291,0.045031,0.09189,-0.09552,-0.9912,0.58445,0.546098,0.868015,0.464937,0.174306,-0.293717,0.763822,-0.574723,-0.400349,0.447672,0.799569,195.45,7,1.0,636122000000000.0,-1124040000000000.0,-344849000000000.0,75708.2,6.39451,1,[21000000000016],9.454,22
22000000000010,0,0,46370400000.0,52,504859.36552286,507857.48846829,505373.35127592,-141.74,-267.08,-195.59,87.46,23.85,22.06011,12.76088,8.20497,186.2,218.348956,161.08,0.033083,0.032277,0.7106,0.7034,0.01509,0.760271,0.485797,0.596851,0.491095,0.634503,-0.515707,-0.371016,0.772265,-0.614667,0.788145,-0.03182,193.77,7,1.0,601564000000000.0,-1127660000000000.0,-195271000000000.0,73009.9,10.0551,1,[21000000000012],9.454,22
22000000000011,0,0,46370400000.0,52,499766.14478863,521546.59141194,499885.75776418,-67.75,-341.48,25.74,91.41,45.86,45.86421,10.45591,8.70015,173.64,213.577563,152.47,0.024118,0.023305,-0.1903,0.08576,-0.978,0.779998,0.552009,0.341083,0.593321,0.729131,0.23035,0.699243,-0.676756,0.911373,-0.398785,-0.101829,169.71,7,1.0,538979000000000.0,-1032740000000000.0,-285821000000000.0,71084.3,8.01814,1,[21000000000009],9.454,22
22000000000012,0,0,48436000000.0,52,499354.39725717,503088.29545975,496956.58435424,33.93,-59.11,82.76,90.75,66.92,27.33673,5.22885,10.78196,169.74,219.076032,170.15,0.030776,0.027655,0.3027,-0.6612,-0.6865,0.866106,0.612174,0.768752,-0.165333,-0.617807,0.593312,-0.176253,0.78544,0.238749,0.970361,0.037401,181.17,7,1.0,701165000000000.0,-1170430000000000.0,-193810000000000.0,89826.0,6.15947,1,[21000000000007],9.454,22
22000000000013,0,0,43271900000.0,52,513135.45829371,514936.19931372,505904.42670019,-209.48,-208.77,-13.96,91.99,74.12,28.33393,6.51406,14.89702,154.26,205.665452,139.3,0.060758,0.061667,0.7581,-0.296,-0.5811,0.670265,0.545279,0.699667,0.570665,0.429892,-0.712904,0.517806,0.472912,0.047274,-0.637352,0.769121,155.38,7,1.0,419861000000000.0,-891236000000000.0,-230140000000000.0,75149.4,4.97234,1,[21000000000011],9.454,22
22000000000014,0,0,38992000000.0,47,489712.90610455,510170.77763875,489272.80196437,50.07,-122.26,118.88,86.74,40.99,71.71423,10.30119,9.06172,158.5,201.052441,138.65,0.016842,0.016934,0.7142,-0.07095,0.6963,0.74928,0.416133,0.801335,0.338502,0.493232,-0.133942,0.905099,-0.403553,-0.583028,0.257317,0.770628,167.02,6,1.0,374799000000000.0,-773127000000000.0,-123435000000000.0,63931.3,6.81086,1,[21000000000020],9.454,22
22000000000015,0,0,40024800000.0,47,502375.06628036,482428.57009172,503971.0611105,-146.13,63.22,167.87,82.41,60.68,76.28258,10.63408,6.15531,147.0,208.972997,136.28,0.048883,0.048332,-0.4203,-0.4852,0.7668,0.55865,0.47556,0.539412,0.820021,0.191311,0.783439,-0.405469,-0.470976,0.30864,-0.403931,0.861151,199.86,6,1.0,371695000000000.0,-798866000000000.0,-230080000000000.0,73795.0,-1.0,1,[21000000000019],9.454,22
22000000000016,0,0,37250300000.0,44,513378.98118155,509209.58518982,504981.31854194,-331.89,-103.52,-116.26,81.83,49.63,49.86716,9.88693,5.37236,156.93,202.318831,146.88,0.075541,0.068156,-0.06257,-0.4141,-0.9081,0.807049,0.435168,-0.018941,0.885183,0.464856,0.752706,-0.2934,0.589364,0.658084,0.361063,-0.660726,190.02,6,1.0,401807000000000.0,-712109000000000.0,-175310000000000.0,58614.9,6.19976,1,[21000000000018],9.454,22
22000000000017,0,0,37014000000.0,43,486305.97293377,510301.63168907,485110.84914207,149.34,-144.19,267.87,84.23,53.26,39.95937,3.84746,18.97729,161.74,198.784772,159.94,0.030761,0.029186,-0.4388,-0.5237,-0.7302,0.718054,0.46742,0.00816,0.111863,0.99369,-0.16873,0.979629,-0.108894,0.985628,0.166777,-0.026868,173.15,6,1.0,473441000000000.0,-802611000000000.0,-117131000000000.0,82251.3,8.05097,1,[21000000000017],9.454,22
