ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW,numProgenitors,ProgenitorsID,redshift,snapshot
12000000000001,0,0,43035600000.0,51,513507.53754377,509692.5534308,505066.23461843,-218.42,-219.13,-81.14,87.18,21.09,18.4015,9.36732,9.4059,198.51,234.605822,184.43,0.022352,0.022545,-0.5239,-0.7928,0.3113,0.74534,0.571277,0.212359,0.497193,0.841251,0.933617,-0.35744,-0.024423,0.288554,0.790592,-0.540093,181.73,7,1.0,731905000000000.0,-1334310000000000.0,-152194000000000.0,97650.9,9.70818,0,[-1],11.962,12
12000000000002,0,0,31228700000.0,36,478649.15822682,497937.31695727,491694.01275484,46.65,-0.34,125.18,86.31,35.31,30.03596,21.14421,10.755,170.39,200.845086,150.26,0.035619,0.035666,0.2874,0.8374,0.465,0.808812,0.561077,-0.404699,0.913026,0.051014,0.087291,-0.016961,0.996038,0.910274,0.407549,-0.072835,135.87,6,1.0,352534000000000.0,-668300000000000.0,-83060000000000.0,59193.2,9.82458,0,[-1],11.962,12
12000000000003,0,0,18861400000.0,23,498089.41450384,517454.29635048,497149.25885201,-128.04,-256.66,42.18,66.31,42.2,42.21215,6.78665,9.53342,139.91,178.089501,108.21,0.052033,0.058348,-0.5474,-0.5033,-0.6686,0.682242,0.566345,0.380738,-0.057443,0.922897,0.67875,-0.660438,-0.321123,0.627963,0.74868,-0.212464,181.02,4,1.0,110422000000000.0,-298478000000000.0,-38596000000000.0,53658.1,6.68029,0,[-1],11.962,12
