ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW,numProgenitors,ProgenitorsID,redshift,snapshot
34000000000001,0,2,789607000000.0,1162,495290.74395404,512765.69857317,497926.61035762,62.06,-181.95,43.54,222.7,221.98,27.2833,5.16789,47.42854,349.92,494.21859,383.42,0.025407,0.019523,0.7984,0.6022,-0.003297,0.563739,0.479844,0.404656,0.880393,0.247309,-0.649473,0.0863,0.755472,0.643769,-0.466326,0.606713,199.35,15,1.0,5.80419e+16,-8.65073e+16,-3.59527e+16,468347.0,2.49137,1,[33000000000001],7.009,34
34000000000002,0,1,316620000000.0,582,512831.77344695,508992.41864681,504818.07051793,-284.88,-251.57,-89.03,164.73,22.75,112.48865,5.24584,9.64588,333.5,363.861212,280.84,0.01641,0.018365,-0.8919,0.2389,-0.384,0.749169,0.564397,-0.163192,0.615778,0.770835,-0.777572,0.400619,-0.484651,0.607248,0.67847,-0.413434,197.49,13,1.0,1.24857e+16,-2.56108e+16,-3399010000000000.0,395640.0,13.6165,1,[33000000000002],7.009,34
34000000000003,0,0,370094000000.0,576,501518.54706928,485488.79171722,481807.31595494,18.71,-43.32,159.24,173.88,80.92,19.5549,3.85787,15.44017,307.67,382.908466,323.39,0.033695,0.034723,0.4578,0.875,0.1572,0.658466,0.564892,-0.573143,0.127869,0.809417,0.739786,0.505577,0.443969,-0.352453,0.853253,-0.384363,196.32,13,1.0,1.9352e+16,-3.37577e+16,-4235350000000000.0,429168.0,7.54881,1,[33000000000003],7.009,34
34000000000004,0,0,301554000000.0,534,503324.6450954,483089.82253075,509084.81942283,-76.59,210.08,-262.03,162.12,25.8,113.50913,3.71727,4.41369,330.17,357.950796,283.66,0.015854,0.018559,-0.4515,0.01823,-0.8921,0.859676,0.565395,0.886338,-0.10132,-0.451818,-0.028449,0.962007,-0.271539,0.462165,0.253529,0.84978,197.34,13,1.0,1.21317e+16,-2.53687e+16,-3786710000000000.0,476430.0,13.962,1,[33000000000004],7.009,34
34000000000005,0,0,339317000000.0,518,502922.2251939,483207.42366744,509375.48817181,72.25,162.76,-282.6,168.68,64.08,97.32877,5.33592,11.99826,296.42,372.25024,296.02,0.02411,0.024105,0.5887,0.7317,0.3436,0.724977,0.567017,0.719252,-0.13803,-0.6809,-0.069516,0.960849,-0.268212,0.691263,0.240245,0.681497,197.16,13,1.0,1.48668e+16,-2.66164e+16,-5526380000000000.0,362553.0,7.19663,1,[33000000000005],7.009,34
34000000000006,0,1,387385000000.0,510,495144.88063075,512369.79256977,497737.23564365,210.65,-127.48,127.66,176.14,104.04,69.28701,2.15799,22.64934,291.48,390.575005,327.34,0.05876,0.040633,-0.1975,-0.2308,-0.9528,0.715517,0.552918,0.516462,0.847517,0.122402,0.079855,-0.189986,0.978534,0.852579,-0.495601,-0.165799,197.67,13,1.0,2.07549e+16,-2.77708e+16,-9616450000000000.0,327690.0,4.91488,1,[33000000000008],7.009,34
34000000000007,0,0,347728000000.0,506,506275.76939914,491228.67049003,518959.03202952,-134.28,139.71,-459.52,169.59,53.37,6.85796,6.85796,8.87291,320.87,375.81313,327.47,0.021447,0.021439,0.3666,0.3932,0.8432,0.681662,0.544927,-0.677574,0.606231,-0.416386,0.102466,0.638455,0.762808,0.728282,0.474193,-0.494719,198.78,13,1.0,1.86451e+16,-3.09134e+16,-3925240000000000.0,370680.0,10.1096,1,[33000000000007],7.009,34
34000000000008,0,0,334842000000.0,489,508223.53735566,499387.96367496,517740.12856185,-220.99,-175.83,-321.03,168.98,87.09,40.84745,2.40388,7.67446,319.71,369.454146,336.51,0.016942,0.018198,0.4615,-0.8858,0.0492,0.595028,0.501448,0.686568,0.62717,0.367807,0.20835,-0.654376,0.726899,-0.696574,0.422433,0.579945,193.51,13,1.0,1.89586e+16,-3.21423e+16,-2327730000000000.0,424864.0,10.7289,1,[33000000000006],7.009,34
34000000000009,0,1,302849000000.0,404,496969.88529629,514286.59094705,500822.12024265,2.07,-203.63,-120.46,162.57,107.73,87.7344,8.06449,14.30632,268.09,358.222528,282.88,0.046135,0.040781,0.2309,-0.9621,0.1448,0.649282,0.489821,0.404115,0.11545,0.907393,0.134056,0.973816,-0.183604,0.904831,-0.195839,-0.378057,196.55,12,1.0,1.21171e+16,-1.97086e+16,-5000450000000000.0,285133.0,4.89175,1,[33000000000014],7.009,34
34000000000010,0,2,275339000000.0,374,499463.88502916,502968.2079951,497046.20639483,-26.27,-72.26,105.81,157.07,86.78,140.64077,4.48956,5.4171,266.04,347.489966,280.85,0.046888,0.044284,0.3375,0.4447,-0.8297,0.769867,0.490015,0.782991,-0.430171,0.449309,-0.460436,0.084859,0.883627,0.418239,0.89875,0.131622,198.12,12,1.0,1.08587e+16,-1.82729e+16,-3667680000000000.0,315837.0,5.71999,2,"[33000000000019, 33000000001237]",7.009,34
34000000000011,0,0,268843000000.0,362,494727.3312731,507273.95047533,501465.31551442,90.67,-257.66,-66.36,155.81,85.37,8.9775,6.96162,8.0378,282.41,344.755274,286.66,0.011741,0.01241,-0.498,0.4204,-0.7584,0.814909,0.597961,0.582862,-0.401128,0.70666,0.612402,0.788448,-0.057563,-0.534075,0.466311,0.705208,198.19,12,1.0,1.1046e+16,-1.99712e+16,-2708190000000000.0,359492.0,8.32481,1,[33000000000010],7.009,34
34000000000012,0,0,206293000000.0,346,497841.76463776,516715.69144472,497288.29492914,-65.36,-289.02,96.7,142.67,25.08,16.10361,6.10717,9.97232,301.94,315.598283,254.13,0.017884,0.02055,-0.6095,-0.5035,0.6124,0.831882,0.666888,0.729882,0.376269,0.570696,-0.596308,-0.057698,0.80068,-0.334199,0.924712,-0.182259,198.08,12,1.0,6661540000000000.0,-1.34435e+16,-1522040000000000.0,269608.0,16.0669,1,[33000000000011],7.009,34
34000000000013,0,0,244758000000.0,340,504581.55155182,507434.03673172,505015.04898071,-164.07,-236.88,-222.26,152.17,98.1,14.2843,2.28584,7.03175,264.98,332.865225,270.52,0.053823,0.057105,0.7006,0.2264,-0.6767,0.904448,0.635079,0.748188,0.326397,0.57765,-0.362726,-0.527783,0.768033,-0.555557,0.784162,0.276489,193.71,12,1.0,8956030000000000.0,-1.65879e+16,-2159560000000000.0,323050.0,7.18469,1,[33000000000013],7.009,34
34000000000014,0,0,231119000000.0,336,491031.75103664,505912.6519105,484575.08753328,3.48,8.21,343.65,148.07,38.78,11.67728,2.61346,2.10036,285.97,327.89639,272.2,0.006141,0.006972,0.6376,-0.7246,0.2616,0.725832,0.599304,0.685041,0.13822,0.715272,-0.308752,0.944381,0.113209,0.659842,0.298394,-0.689616,198.5,12,1.0,8562370000000000.0,-1.65695e+16,-1370340000000000.0,350018.0,11.096,1,[33000000000012],7.009,34
34000000000015,0,0,200366000000.0,333,478836.2945055,497909.26645328,492058.93510348,93.13,-12.83,171.9,142.02,18.97,29.06653,2.50598,7.46122,299.3,311.741796,245.95,0.035786,0.04105,-0.9854,0.03803,-0.1661,0.740678,0.597148,-0.174909,0.779089,0.602019,0.820183,-0.22298,0.526859,0.544709,0.585918,-0.599994,195.04,12,1.0,6060320000000000.0,-1.24659e+16,-1608890000000000.0,291353.0,16.2796,1,[33000000000015],7.009,34
34000000000016,34000000000001,1,207358000000.0,326,495393.60294982,512926.45495112,497983.68680768,-9.34,-402.38,-43.91,99.52,99.34,33.6823,3.32704,9.81027,267.98,382.94579,294.1,0.05387,0.044818,-0.0763,0.8992,-0.4308,0.840447,0.794326,0.51806,0.810834,0.272329,0.694339,-0.58459,0.4197,-0.499508,0.028341,0.865846,586.63,12,1.0,8967910000000000.0,-1.41179e+16,-6008070000000000.0,270212.0,2.38169,1,[33000000000009],7.009,34
