ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW,numProgenitors,ProgenitorsID,redshift,snapshot
29000000000001,0,1,334137000000.0,439,495318.20602715,512912.21193969,497833.15788954,-13.12,-154.88,104.94,168.56,79.48,62.99021,8.42429,32.14691,301.49,390.847285,342.63,0.039626,0.02673,0.5885,-0.6035,0.5381,0.682008,0.49212,0.412036,0.777246,-0.475515,0.091593,0.4839,0.870317,0.906552,-0.402156,0.128194,194.79,12,1.0,1.96136e+16,-2.54203e+16,-5982510000000000.0,261893.0,5.99606,1,[28000000000002],7.959,29
29000000000002,0,0,242826000000.0,376,513039.37692534,509178.06679552,504908.01578218,-277.1,-234.62,-97.93,151.27,53.65,20.53288,4.55781,8.01266,314.72,351.722324,327.52,0.036063,0.038892,0.7116,0.5132,-0.4798,0.712059,0.579308,-0.337343,0.647691,0.683151,0.645146,-0.369417,0.668818,0.685555,0.666354,-0.293235,195.87,12,1.0,1.30236e+16,-2.17579e+16,-1099260000000000.0,383819.0,12.3585,1,[28000000000001],7.959,29
29000000000003,0,0,216225000000.0,302,503367.00015598,482936.59422133,509256.11456235,-78.02,209.88,-236.77,145.72,108.67,27.81934,7.83099,10.5443,247.91,338.153224,248.79,0.008787,0.008796,-0.8024,0.2626,-0.5359,0.737536,0.536655,0.749643,0.234721,-0.618822,-0.218384,0.970358,0.103508,0.624774,0.057547,0.778682,195.09,11,1.0,6691600000000000.0,-1.2885e+16,-3160690000000000.0,338967.0,4.13441,1,[28000000000003],7.959,29
29000000000004,0,0,216329000000.0,280,501489.61373738,485510.33224378,481710.75752803,25.83,-41.29,157.46,146.24,75.1,106.86333,7.13747,4.7587,272.83,337.635145,273.87,0.014593,0.013915,0.8696,0.3474,0.3509,0.7224,0.584004,-0.531134,0.248011,0.810177,0.835966,0.309185,0.453393,-0.138049,0.918093,-0.371548,193.12,11,1.0,8112550000000000.0,-1.37186e+16,-2200550000000000.0,293557.0,7.7734,1,[28000000000006],7.959,29
29000000000005,0,0,218784000000.0,279,495359.30385956,513202.75893578,498019.91536067,68.86,-317.16,-13.83,145.24,96.08,30.1643,7.38659,19.36339,245.2,341.922684,266.42,0.068746,0.051181,0.1326,0.9675,0.2151,0.721876,0.596941,0.164954,0.929558,0.329716,-0.787293,-0.077269,0.611718,0.594104,-0.360489,0.719089,199.38,11,1.0,7764330000000000.0,-1.12837e+16,-3835110000000000.0,194523.0,3.39571,1,[28000000000005],7.959,29
29000000000006,0,0,208631000000.0,277,502889.17468144,483073.37898474,509595.71508261,56.7,167.27,-284.36,143.75,61.19,25.61781,2.44667,9.5457,270.6,334.431077,267.02,0.037746,0.038569,0.8427,0.5324,-0.08077,0.81431,0.589972,-0.680204,0.315724,0.661545,0.055088,0.921953,-0.383363,0.73095,0.224321,0.644509,196.09,11,1.0,7437410000000000.0,-1.35281e+16,-1968080000000000.0,326374.0,7.82563,1,[28000000000004],7.959,29
29000000000007,0,0,185901000000.0,237,506399.15466309,491125.10681152,519290.92407227,-139.86,129.75,-450.64,139.16,69.42,64.11504,11.05538,9.86586,262.62,320.857035,258.49,0.020246,0.017751,-0.2171,0.5664,0.795,0.590613,0.43027,0.684123,-0.632459,0.363278,-0.621965,-0.245718,0.743493,0.380965,0.734587,0.561469,192.61,11,1.0,6210910000000000.0,-9888820000000000.0,-1879470000000000.0,189904.0,8.29273,1,[28000000000008],7.959,29
29000000000008,0,0,171704000000.0,231,497876.54727697,516901.17120743,497239.2141819,-70.51,-275.43,72.61,135.02,35.28,42.94233,6.799,8.61077,285.41,313.046518,252.21,0.011917,0.013129,-0.1326,-0.7333,0.6669,0.795184,0.571924,0.966424,0.250878,0.05554,-0.148844,0.370393,0.916872,-0.209451,0.894354,-0.395298,194.74,11,1.0,5460990000000000.0,-1.05664e+16,-819951000000000.0,294564.0,13.333,1,[28000000000007],7.959,29
29000000000009,0,0,151338000000.0,202,478787.99490307,497886.55535035,491948.52943006,73.88,5.87,158.88,128.55,42.09,88.91543,6.82864,11.2296,241.73,301.202046,226.21,0.015395,0.016499,-0.1614,0.8042,0.572,0.891403,0.594469,-0.353186,0.722824,0.593957,0.770362,-0.135544,0.623034,0.530851,0.677608,-0.508964,198.89,10,1.0,3871940000000000.0,-7813930000000000.0,-1167570000000000.0,286774.0,7.50106,1,[28000000000009],7.959,29
29000000000010,0,0,155320000000.0,194,491005.70036815,505921.70311854,484316.05788378,22.65,0.49,336.88,129.74,80.67,42.35539,3.47327,15.88599,229.29,303.743316,224.09,0.016767,0.015769,0.9742,-0.07536,0.2128,0.73929,0.53966,0.600818,-0.046216,0.798049,0.166316,-0.969254,-0.181342,0.781893,0.241682,-0.574659,198.59,10,1.0,3899660000000000.0,-7068410000000000.0,-1648250000000000.0,261920.0,5.20588,1,[28000000000010],7.959,29
