ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW,numProgenitors,ProgenitorsID,redshift,snapshot
14000000000001,0,0,64759200000.0,73,513465.2313732,509648.22371801,505050.94868796,-229.89,-223.94,-53.66,98.81,44.77,64.32135,6.35065,9.1258,204.99,265.314422,190.72,0.0259,0.024904,-0.9574,-0.08103,-0.2772,0.613232,0.53767,0.036665,0.132752,0.990471,0.98676,-0.161501,-0.014882,0.157986,0.977903,-0.136915,187.8,8,1.0,1177760000000000.0,-2231370000000000.0,-580969000000000.0,127472.0,6.05575,0,[-1],11.487,14
14000000000002,0,0,35272300000.0,40,502760.59146021,482831.38754321,510067.36474879,42.15,110.39,-215.34,79.45,63.39,42.92565,13.21721,7.46244,163.49,218.35455,140.25,0.02837,0.025366,-0.01285,-0.274,-0.9616,0.630923,0.566785,0.83593,-0.020752,-0.548443,0.117038,0.98304,0.141192,0.536211,-0.182215,0.824181,196.72,6,1.0,346898000000000.0,-683009000000000.0,-135762000000000.0,57134.8,4.90891,0,[-1],11.487,14
14000000000003,0,0,35272300000.0,40,478663.32839275,497926.03274872,491719.68061348,50.78,-3.27,133.67,84.3,35.7,18.48163,8.47723,6.10931,189.76,211.983346,165.83,0.039201,0.04152,0.2744,0.3663,0.8891,0.758596,0.56052,0.163193,0.447187,0.879427,-0.479762,0.814857,-0.325325,0.862089,0.368825,-0.347522,164.69,6,1.0,484959000000000.0,-929475000000000.0,-107856000000000.0,81341.5,12.3787,0,[-1],11.487,14
14000000000004,0,0,27185000000.0,32,498065.2001169,517400.65879292,497154.11994192,-119.05,-240.32,36.79,81.58,45.1,38.85614,16.99244,8.77574,149.86,189.175724,126.43,0.080025,0.084512,-0.04121,-0.7758,-0.6296,0.778953,0.480611,0.915289,0.31036,0.256755,-0.25481,-0.047542,0.965822,-0.311959,0.94943,-0.035568,140.05,5,1.0,217285000000000.0,-488549000000000.0,-11944700000000.0,49403.1,6.99666,0,[-1],11.487,14
14000000000005,0,0,20130600000.0,24,503471.63568843,482590.58107029,509690.56432897,-64.2,167.08,-202.46,66.29,56.4,55.74648,20.40068,12.5865,133.17,180.596213,106.64,0.016709,0.01545,-0.2031,-0.8337,0.5136,0.827953,0.570121,0.673247,0.619464,-0.403737,0.474812,-0.780756,-0.406169,0.566827,-0.081753,0.819771,193.32,5,1.0,114471000000000.0,-254804000000000.0,-89821500000000.0,34249.8,4.3493,0,[-1],11.487,14
14000000000006,0,0,18625100000.0,22,488492.02886872,503757.20988149,471857.34173526,83.47,-151.57,272.61,66.13,24.59,24.25275,14.70094,4.4001,140.45,173.920563,107.07,0.044728,0.045442,-0.7987,0.4793,0.3637,0.741543,0.63625,-0.509421,-0.360348,0.781434,0.55532,0.556032,0.618423,-0.657351,0.748984,-0.083146,180.15,4,1.0,106762000000000.0,-252138000000000.0,-64887300000000.0,39326.5,7.74654,0,[-1],11.487,14
14000000000007,0,0,16086900000.0,20,491899.3589553,498873.72959744,507425.01020432,161.85,-37.12,-244.26,79.72,39.26,32.34825,10.75505,6.9326,133.73,147.218528,101.88,0.039166,0.044371,0.784,-0.06172,-0.6176,0.983682,0.654295,-0.058838,-0.608573,0.791313,0.824558,-0.476454,-0.305116,0.56271,0.634532,0.529837,88.83,4,1.0,83494000000000.0,-195364000000000.0,-0.0,35805.4,13.1397,0,[-1],11.487,14
