ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW
39000000000001,0,0,1305520000000.0,2182,495387.41686514,512661.29102026,497951.24105045,68.04,-286.81,-6.52,263.01,91.16,26.86039,1.57395,9.8333,453.72,552.841284,466.93,0.015968,0.016065,-0.09183,0.8048,-0.5863,0.929501,0.702892,0.297561,0.835887,0.461248,-0.755219,-0.089464,0.649338,0.584039,-0.541561,0.604657,199.75,17,1.0,1.42318e+17,-2.43287e+17,-4.206e+16,1090930.0,8.4039
39000000000002,0,0,684327000000.0,1205,503276.79683124,483236.42041895,508875.67357671,-125.77,188.01,-236.55,212.56,68.66,53.00463,3.59929,14.47901,377.31,445.351729,407.52,0.044394,0.044208,-0.1499,0.6221,-0.7685,0.815983,0.612829,-0.694757,0.494204,0.522566,-0.144344,-0.807571,0.571834,0.704612,0.321856,0.632401,198.34,15,1.0,5.6824e+16,-9.04532e+16,-1.53035e+16,723469.0,9.77608
39000000000003,0,3,733614000000.0,1085,495263.03584846,512245.30080579,497832.45066427,216.3,-64.42,131.4,217.31,145.31,20.46684,5.15789,11.88824,339.98,455.91697,377.25,0.043476,0.033537,0.4084,-0.6525,-0.6383,0.846038,0.70749,0.484282,0.684224,0.54526,-0.158517,-0.544284,0.823788,0.860432,-0.485379,-0.155126,198.99,15,1.0,5.22024e+16,-7.48875e+16,-2.64277e+16,444535.0,4.76118
39000000000004,0,0,534590000000.0,1009,506186.97702885,491334.54076946,518611.45347357,-159.36,171.19,-494.28,195.72,57.99,159.7986,2.93332,7.66692,358.99,410.095041,356.56,0.009458,0.011134,0.598,0.1552,0.7863,0.715954,0.583604,0.808624,-0.499036,0.311593,-0.017999,0.508395,0.860936,0.588051,0.701781,-0.402118,198.48,15,1.0,3.39823e+16,-6.51354e+16,-6267990000000000.0,713515.0,11.2751
39000000000005,0,0,457882000000.0,958,512617.99044199,508815.82093994,504757.20474623,-305.96,-274.04,-111.82,185.44,19.63,95.41039,1.94586,4.41545,418.32,389.907866,335.74,0.010012,0.0125,-0.3782,0.81,-0.4482,0.663104,0.479242,-0.140224,0.532392,0.834803,-0.934791,0.206715,-0.28885,0.326347,0.82087,-0.468689,199.85,14,1.0,2.5806e+16,-5.29314e+16,-4800010000000000.0,641827.0,24.1269
39000000000006,0,0,486050000000.0,940,501529.76618659,485452.30660708,481941.75429883,19.23,-37.91,174.51,190.22,38.57,6.33736,3.54974,9.82097,352.03,396.644557,316.63,0.026689,0.030129,0.7158,0.6969,0.0432,0.779032,0.572964,-0.475531,0.079555,0.876094,0.649245,0.703741,0.288496,-0.593592,0.705989,-0.386301,196.56,14,1.0,2.4364e+16,-4.87265e+16,-7797000000000000.0,528456.0,11.9474
39000000000007,0,0,495045000000.0,927,508076.89737391,499266.0917933,517505.65269006,-235.73,-187.81,-346.25,190.31,38.98,11.09653,1.61964,12.63574,386.94,400.203934,351.66,0.006515,0.007872,0.5704,-0.7608,-0.3095,0.694936,0.554223,0.656545,0.48131,0.580766,-0.108699,-0.701544,0.704287,-0.746414,0.525525,0.408277,199.92,14,1.0,3.06105e+16,-5.95474e+16,-6182690000000000.0,672918.0,16.7116
39000000000008,0,2,566745000000.0,863,496968.03697641,514133.54579953,500687.50027297,26.88,-210.15,-138.04,199.81,137.35,70.75675,3.4185,29.32844,313.87,417.905001,334.56,0.055696,0.051581,0.2616,-0.9617,-0.08144,0.489772,0.435017,0.367227,0.094994,0.925268,0.732759,0.583162,-0.350694,-0.572895,0.806782,0.144545,197.76,14,1.0,3.1718e+16,-5.29413e+16,-1.36256e+16,460209.0,5.02158
39000000000009,0,1,544911000000.0,821,499448.27685485,502895.36972304,497128.75565967,-79.15,-77.59,142.11,197.31,92.84,63.93487,3.57962,16.14429,343.98,412.35972,357.79,0.046215,0.043947,0.4218,0.4503,-0.7869,0.760951,0.543856,0.756928,-0.632357,0.164877,-0.305389,-0.119224,0.944734,0.577752,0.765448,0.283359,197.45,14,1.0,3.48789e+16,-5.58249e+16,-7733580000000000.0,412510.0,9.08738
39000000000010,0,0,467526000000.0,812,502990.88313029,483325.17995284,509149.8035651,105.24,151.14,-316.44,186.84,18.02,15.30988,2.76331,2.54704,371.71,392.516273,319.58,0.028082,0.029543,-0.3129,0.619,0.7204,0.775461,0.69461,0.774368,-0.095479,-0.62549,-0.047116,0.977104,-0.207481,0.630979,0.190137,0.752139,199.52,14,1.0,2.38747e+16,-4.38049e+16,-9078160000000000.0,487251.0,15.4581
