ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW
41000000000001,0,1,1486340000000.0,2591,495412.66467593,512571.94874848,497941.5262511,73.22,-315.08,-16.44,274.55,58.85,3.18436,1.3784,8.64939,468.25,565.577079,461.33,0.004748,0.004879,-0.2852,0.7898,0.5431,0.806778,0.644911,0.285373,0.935928,0.206399,-0.591997,0.002773,0.805935,0.753725,-0.35218,0.554858,199.76,17,1.0,1.58165e+17,-2.83544e+17,-6.79176e+16,1086300.0,8.78594
41000000000002,0,0,823573000000.0,1478,503266.73189799,483260.71268982,508791.35396745,-145.76,200.43,-228.87,225.55,124.38,126.738,2.03263,18.87393,369.43,464.288469,391.4,0.042829,0.042739,0.06695,0.5292,-0.8459,0.770872,0.638164,-0.621018,0.557717,0.550716,-0.321407,-0.822039,0.470054,0.714867,0.114908,0.689755,199.63,16,1.0,6.30833e+16,-1.0728e+17,-1.85241e+16,777808.0,7.16678
41000000000003,0,2,824860000000.0,1241,505025.17035133,491540.97626084,513768.80156366,-116.45,106.47,-338.3,225.57,78.32,95.07139,3.8923,11.48443,349.3,465.257563,370.09,0.008193,0.006578,-0.3381,-0.4605,0.8207,0.515373,0.443634,-0.020739,-0.127218,0.991658,0.996633,0.076063,0.030601,-0.079321,0.988954,0.125212,199.88,15,1.0,5.64878e+16,-8.51859e+16,-3.65507e+16,460418.0,5.0574
41000000000004,0,1,595613000000.0,1224,506144.12767547,491380.79370771,518460.88043281,-166.37,174.96,-509.92,202.7,56.3,4.52656,2.27026,5.11557,373.47,416.495818,355.1,0.01091,0.013383,0.1844,0.5646,0.8045,0.61513,0.508515,0.740539,-0.509383,0.438327,-0.387365,0.209432,0.897823,0.549136,0.834666,0.042224,198.91,15,1.0,3.75529e+16,-7.64186e+16,-8645500000000000.0,765858.0,12.4667
41000000000005,41000000000001,0,739580000000.0,1213,495314.58351347,512253.18219927,497860.72492599,221.77,-40.61,137.9,192.79,77.53,31.12083,7.4158,10.09911,361.51,476.375733,417.99,0.038141,0.027753,-0.0165,-0.8864,-0.4626,0.847324,0.775208,0.388075,0.720581,0.574596,0.19929,-0.674317,0.711041,0.899823,-0.161426,-0.40529,287.07,15,1.0,6.46079e+16,-8.67779e+16,-3.26465e+16,551023.0,5.43495
41000000000006,0,1,743588000000.0,1176,496993.48490685,514070.69154084,500674.31107163,20.93,-250.75,-168.64,218.18,104.45,95.05445,2.41234,10.28416,363.82,448.55428,392.61,0.044518,0.043225,0.8377,-0.3168,-0.4449,0.573653,0.522076,0.37728,0.254365,0.890482,-0.698797,0.709185,0.093489,0.607736,0.657537,-0.44531,199.13,15,1.0,5.7309e+16,-9.25707e+16,-1.67389e+16,613816.0,7.92338
41000000000007,0,0,570327000000.0,1148,508011.32453813,499210.91894309,517403.25159497,-235.41,-190.9,-345.07,199.73,27.29,4.62675,4.62675,15.80629,434.95,410.573078,366.07,0.013427,0.017028,0.5686,-0.6022,-0.5604,0.694902,0.531101,0.671514,0.444369,0.592962,-0.175089,-0.682412,0.709688,-0.720008,0.580387,0.380445,199.07,15,1.0,3.82137e+16,-7.68665e+16,-8098600000000000.0,828607.0,23.1129
41000000000008,0,1,705472000000.0,1106,482530.74462651,497707.06682874,496413.09216706,127.79,89.99,-78.61,214.5,106.44,71.2622,3.53884,29.31062,352.81,440.638804,367.04,0.040806,0.036742,-0.4499,-0.7679,-0.456,0.723855,0.605597,0.924401,-0.314089,0.216403,0.327447,0.944456,-0.027951,-0.195604,0.096698,0.975904,198.82,15,1.0,4.75206e+16,-7.52821e+16,-1.23882e+16,496790.0,7.41077
41000000000009,0,2,710819000000.0,1104,495458.20953836,504133.03878678,505300.92174788,142.5,-166.37,-298.27,214.82,161.73,80.35056,0.58055,32.5835,329.7,441.978245,373.09,0.049802,0.041742,0.5731,0.6996,0.4267,0.664276,0.560813,-0.43798,0.877228,-0.19658,0.457735,0.40581,0.791073,0.773726,0.256493,-0.579275,199.43,15,1.0,4.94729e+16,-7.38599e+16,-1.85252e+16,610940.0,4.77386
41000000000010,0,0,490118000000.0,1099,512525.252313,508739.17855924,504722.42387224,-313.5,-282.93,-115.13,190.76,21.94,2.68948,2.61913,4.46941,411.19,389.454531,324.65,0.013947,0.01808,0.4208,0.7704,-0.4789,0.675864,0.51836,-0.17894,0.57723,0.796734,-0.871713,0.282457,-0.400418,0.456177,0.766174,-0.452636,196.36,15,1.0,2.58279e+16,-5.70586e+16,-5154200000000000.0,668521.0,22.848
41000000000011,0,0,528032000000.0,1077,501530.20919596,485433.24502407,481992.97027823,21.71,-37.78,175.58,195.01,99.98,5.54308,1.58368,9.83388,324.29,399.811353,333.37,0.026272,0.03089,0.6429,0.7275,0.2394,0.71585,0.597198,-0.493275,0.038448,0.869023,0.386392,0.90474,0.179295,-0.779347,0.424226,-0.461141,198.03,15,1.0,2.93421e+16,-5.85134e+16,-7894600000000000.0,637631.0,7.92487
41000000000012,0,0,657111000000.0,1029,499416.19908487,502886.78450627,497183.41741476,-69.66,-73.89,153.98,209.31,112.3,59.87138,2.72525,8.30489,342.15,430.507885,359.77,0.060822,0.061621,0.7172,0.5625,-0.4114,0.642199,0.545976,-0.620244,0.723014,-0.304218,-0.407085,0.034821,0.912726,0.670507,0.689956,0.272731,199.31,15,1.0,4.25256e+16,-7.37772e+16,-9956880000000000.0,513669.0,7.12201
41000000000013,0,0,513779000000.0,946,503027.97708756,483362.53257898,509047.00389275,114.41,152.31,-349.81,182.06,40.91,29.11809,2.32044,2.55819,331.8,408.162691,323.52,0.022965,0.022822,0.3028,0.8525,0.4261,0.792297,0.656078,-0.628441,0.279728,0.72582,0.278641,0.952135,-0.125691,0.726238,-0.123254,0.676304,236.79,14,1.0,2.68869e+16,-4.80192e+16,-1.48238e+16,506661.0,8.01367
41000000000014,0,3,611991000000.0,940,501905.31506258,482587.63376404,504499.95784199,-54.8,181.37,177.43,204.36,139.21,24.29776,1.89492,17.69216,313.08,420.91315,346.62,0.090327,0.075319,0.4706,-0.8782,0.08549,0.886284,0.83886,0.640738,0.621503,0.450765,-0.76776,0.518397,0.376577,0.000368,-0.587366,0.809321,199.43,14,1.0,3.67633e+16,-5.55706e+16,-1.59249e+16,394109.0,4.70745
41000000000015,0,1,565176000000.0,923,494837.86958915,506992.30799308,501386.94139627,108.69,-258.69,-108.38,198.97,57.86,10.08503,3.9084,6.09056,344.81,409.504115,338.47,0.028957,0.030464,-0.5283,0.848,-0.04175,0.610932,0.523054,0.440356,-0.535384,0.720729,0.758362,0.651507,0.020614,-0.480597,0.537496,0.69291,199.57,14,1.0,3.23743e+16,-5.85981e+16,-9662210000000000.0,526170.0,9.4918
41000000000016,0,3,597557000000.0,887,505379.27361096,491336.6355148,512813.97015441,-272.96,209.95,-194.82,202.61,173.67,202.31193,2.3305,11.90919,298.09,417.264563,314.67,0.069996,0.060946,0.824,-0.4097,0.3914,0.616016,0.501812,-0.303659,0.549755,0.778178,0.141002,0.83368,-0.533944,0.94229,0.052413,0.330671,199.81,14,1.0,2.95836e+16,-4.93026e+16,-1.66068e+16,367673.0,3.0577
41000000000017,0,0,575749000000.0,870,503964.68536928,493100.2908852,519063.59847635,69.87,52.84,-568.42,200.11,89.9,8.82572,3.14429,7.70044,363.77,412.135793,385.14,0.031757,0.03183,-0.1371,0.536,0.833,0.917655,0.616558,0.007977,0.290215,0.956928,-0.704498,0.680769,-0.200589,0.709662,0.672554,-0.209886,199.84,14,1.0,4.27002e+16,-6.72605e+16,-5589160000000000.0,500583.0,11.675
41000000000018,0,0,401430000000.0,778,491010.19853201,505925.16018794,484929.90029164,9.69,19.43,388.51,178.18,16.07,4.99528,2.27606,17.3072,387.71,364.692339,323.26,0.013073,0.01575,0.9086,-0.4139,-0.05567,0.630683,0.559233,0.734629,-0.009863,0.678398,0.067242,0.99603,-0.058334,-0.675129,0.08847,0.732375,197.36,14,1.0,2.09736e+16,-4.03474e+16,-3592870000000000.0,580302.0,23.3919
