ID,hostHalo,numSubStruct,Mvir,npart,Xc,Yc,Zc,VXc,VYc,VZc,Rvir,Rmax,r2,mbp_offset,com_offset,Vmax,v_esc,sigV,lambda,lambdaE,Lx,Ly,Lz,b,c,Eax,Eay,Eaz,Ebx,Eby,Ebz,Ecx,Ecy,Ecz,ovdens,nbins,fMhires,Ekin,Epot,SurfP,Phi0,cNFW
35000000000001,0,1,933694000000.0,1408,495306.95433297,512747.77985201,497941.23521665,64.72,-204.81,26.45,235.61,193.41,216.59447,3.03548,47.15394,373.67,516.403643,401.78,0.024359,0.020044,0.5494,0.7264,-0.4129,0.656407,0.532921,0.48075,0.859573,0.173243,-0.584806,0.167094,0.793777,0.653362,-0.482922,0.583014,199.0,16,1.0,7.53614e+16,-1.17508e+17,-3.70057e+16,615490.0,3.62404
35000000000002,0,0,349724000000.0,650,512792.89366906,508959.63243225,504810.60277997,-290.56,-252.29,-94.47,169.8,52.44,6.42735,4.93908,6.3339,310.7,372.286966,292.92,0.020974,0.023366,-0.6835,0.5866,-0.4344,0.683803,0.494566,-0.356349,0.660814,0.66056,0.780281,-0.178433,0.599436,0.513982,0.729031,-0.452036,199.14,13,1.0,1.5004e+16,-3.00431e+16,-5003820000000000.0,417704.0,9.10753
35000000000003,0,0,386189000000.0,635,501515.09747786,485480.0806326,481834.83235976,18.39,-44.96,160.43,175.8,70.31,36.98692,1.28858,8.41764,323.13,384.473453,332.16,0.031669,0.03451,0.4764,0.8575,0.1943,0.763559,0.595528,-0.504635,0.304248,0.807946,0.805227,0.503395,0.313373,-0.311374,0.808719,-0.499019,198.12,13,1.0,2.13041e+16,-3.82513e+16,-3417670000000000.0,500689.0,9.41121
35000000000004,0,0,347245000000.0,621,503306.07617488,483121.86168843,509046.39236263,-72.41,203.22,-266.26,170.09,16.76,94.18814,2.81437,4.586,364.01,370.646092,283.19,0.014506,0.016461,0.1319,0.9782,-0.1603,0.714516,0.507034,0.847821,0.092008,-0.522239,-0.262952,0.928169,-0.26336,0.460495,0.360606,0.811116,196.71,13,1.0,1.39235e+16,-2.92805e+16,-5679220000000000.0,479440.0,17.701
35000000000005,0,0,393767000000.0,598,506261.78913646,491245.80069825,518888.05075928,-144.18,149.53,-466.46,177.21,48.02,37.58907,4.44131,6.91783,332.91,386.685726,335.68,0.018608,0.019658,0.2107,0.5552,0.8046,0.602962,0.521654,0.740212,-0.573093,0.35164,-0.098213,0.425217,0.899747,0.665162,0.700539,-0.258466,197.24,13,1.0,2.21856e+16,-3.86133e+16,-5232320000000000.0,515210.0,10.4902
35000000000006,0,3,434669000000.0,588,495178.69674242,512335.78461867,497770.25488707,216.06,-122.61,127.92,182.33,100.24,53.12059,7.66773,26.70049,310.62,403.267626,341.77,0.038069,0.027865,0.0267,-0.3222,-0.9463,0.734571,0.688822,0.642218,0.638596,0.42397,-0.226487,-0.370323,0.900869,0.732297,-0.674578,-0.093194,199.89,13,1.0,2.53865e+16,-3.47261e+16,-1.03245e+16,307349.0,6.19454
35000000000007,0,0,370898000000.0,579,502934.68604697,483222.65040367,509337.14876784,83.01,165.87,-288.1,176.3,41.11,107.50316,1.54993,6.99415,308.66,376.254475,298.02,0.019384,0.019659,0.2165,0.9355,0.2792,0.72642,0.626148,-0.664172,0.139985,0.734357,-0.008522,0.980831,-0.194676,0.747531,0.135556,0.650247,188.67,13,1.0,1.64703e+16,-2.99727e+16,-5649240000000000.0,400437.0,8.3845
35000000000008,0,0,361216000000.0,539,508194.94360584,499369.65385736,517694.77937181,-226.72,-183.32,-325.33,173.83,48.63,16.28576,3.86195,2.75682,351.49,373.943799,343.64,0.014704,0.016352,0.5383,-0.7338,-0.4145,0.63614,0.580417,0.648191,0.677582,0.347464,0.197431,-0.590241,0.782711,0.735438,-0.438746,-0.516365,191.71,13,1.0,2.13272e+16,-3.69445e+16,-2821260000000000.0,429895.0,15.023
35000000000009,0,2,363296000000.0,496,499468.72293949,502946.4662075,497061.20789051,-60.9,-77.64,123.87,172.22,99.24,17.14599,1.60837,7.33978,277.12,376.7688,288.9,0.061083,0.053941,0.3517,0.3196,-0.8799,0.616649,0.479116,0.859062,-0.417528,0.296114,-0.403592,-0.196676,0.89355,0.314844,0.887124,0.337468,198.27,13,1.0,1.51606e+16,-2.52147e+16,-8247390000000000.0,333421.0,4.25603
35000000000010,0,1,345945000000.0,473,496961.43521919,514240.68105113,500794.13738337,2.74,-198.07,-115.21,169.06,86.93,127.09475,3.39139,13.74658,291.13,371.081469,309.06,0.037932,0.03516,0.3194,-0.9317,-0.1729,0.667383,0.550946,0.304455,0.202622,0.930727,0.239229,0.929529,-0.280616,0.921996,-0.308091,-0.234526,199.59,13,1.0,1.65216e+16,-2.67539e+16,-4309420000000000.0,343925.0,6.62731
35000000000011,0,0,309096000000.0,437,494738.07215691,507237.60878598,501447.58047881,100.81,-257.31,-73.05,163.47,73.71,37.98949,7.81422,15.29585,292.54,356.700695,304.93,0.023955,0.023763,-0.3753,0.8596,-0.3469,0.743349,0.528858,0.508755,-0.408268,0.757948,0.706056,0.701619,-0.095997,0.492598,-0.583993,-0.645213,197.23,12,1.0,1.437e+16,-2.4045e+16,-3999290000000000.0,323601.0,8.37406
35000000000012,0,1,255288000000.0,388,491036.23270988,505915.58059057,484634.8353227,-4.44,12.14,348.19,154.34,48.34,9.54728,3.89248,7.71143,290.27,333.623506,280.01,0.020758,0.023197,0.8979,-0.03321,-0.439,0.657686,0.535628,0.655458,0.166662,0.736613,-0.385607,0.912485,0.136669,0.649371,0.373624,-0.662361,193.56,12,1.0,1.00083e+16,-1.88787e+16,-2533340000000000.0,343925.0,10.9834
35000000000013,0,0,224917000000.0,378,497826.84038986,516669.57952759,497297.98815467,-66.69,-292.82,102.08,146.78,22.42,17.30782,3.06648,7.15491,334.47,321.109827,275.56,0.030022,0.03581,-0.7854,-0.3844,0.4852,0.891348,0.599034,0.722427,0.361662,0.589322,-0.646888,0.052503,0.760775,-0.244202,0.93083,-0.271884,198.25,12,1.0,8539540000000000.0,-1.67885e+16,-2123360000000000.0,351638.0,21.8093
35000000000014,0,1,262110000000.0,374,504560.81343963,507399.03312869,504985.06189448,-167.14,-239.59,-231.3,156.97,101.7,42.79853,6.50073,5.28573,266.23,335.204933,271.57,0.053433,0.055675,0.7156,0.2748,-0.6422,0.904206,0.679695,0.832253,0.401565,0.38223,-0.203481,-0.420079,0.88438,-0.515703,0.813805,0.267901,188.9,12,1.0,9665020000000000.0,-1.76587e+16,-2274450000000000.0,271163.0,7.09515
35000000000015,0,0,215411000000.0,370,478851.64673175,497905.59011862,492093.29786651,94.44,-15.08,174.2,145.05,53.24,40.18198,5.38502,4.5705,266.73,316.124383,244.86,0.038149,0.043331,-0.9916,-0.1169,-0.05541,0.719932,0.596411,-0.294335,0.81595,0.497586,0.860832,0.000192,0.508889,0.415132,0.578122,-0.702453,196.76,12,1.0,6457410000000000.0,-1.34007e+16,-1753740000000000.0,285046.0,9.58208
35000000000016,0,1,262427000000.0,355,482457.69634581,497699.24659478,496448.14719234,87.91,24.37,-79.53,154.12,61.85,56.60035,4.67205,28.53001,253.77,338.496168,258.19,0.047546,0.041735,-0.446,-0.895,-0.003767,0.825251,0.618583,-0.458719,0.736955,-0.496462,0.293349,0.652985,0.698253,0.838763,0.174665,-0.515722,199.82,12,1.0,8747050000000000.0,-1.4539e+16,-5305690000000000.0,229428.0,4.95518
35000000000017,0,1,253456000000.0,350,497703.93669605,489831.39514923,503881.19578362,98.67,231.29,-54.54,153.08,136.5,85.93652,6.54636,22.65185,245.74,333.787911,249.3,0.024183,0.022995,-0.5054,-0.8619,-0.04209,0.74498,0.51184,0.576449,-0.040346,0.816136,-0.036657,0.996498,0.075154,0.81631,0.07324,-0.572952,196.95,12,1.0,7876100000000000.0,-1.42589e+16,-3444690000000000.0,230961.0,4.29035
35000000000018,0,0,253315000000.0,347,501415.24283782,509582.94557488,487523.24321996,-60.7,-178.38,355.32,152.87,46.26,82.19662,8.52437,9.97574,309.23,333.923064,303.14,0.010709,0.011456,-0.2022,0.5099,-0.8361,0.841458,0.691858,0.485457,0.864491,0.130335,0.25178,-0.281009,0.926089,0.837221,-0.41676,-0.354079,197.65,12,1.0,1.16393e+16,-1.972e+16,-1338510000000000.0,308249.0,14.1806
35000000000019,0,0,255056000000.0,346,495317.43034374,504354.55524644,505463.73461568,126.2,-220.16,-206.53,153.0,73.71,30.54146,14.3087,13.16568,284.87,334.92919,290.43,0.025257,0.025654,-0.9531,-0.1184,-0.2786,0.670546,0.557237,-0.514278,0.833856,-0.200506,0.852398,0.522748,-0.012337,-0.094527,0.177255,0.979615,198.51,12,1.0,1.07571e+16,-1.81366e+16,-1663430000000000.0,249790.0,9.93874
35000000000020,0,0,235393000000.0,334,501968.29390904,482389.94583251,504295.65849758,-61.72,187.94,173.48,149.69,51.51,31.41346,3.18782,11.24927,273.48,325.297184,269.92,0.049668,0.050963,0.5238,-0.7508,-0.4024,0.779702,0.723074,0.562728,0.826268,0.024884,0.729407,-0.510476,0.45539,-0.388977,0.23811,0.889944,195.63,12,1.0,8575050000000000.0,-1.51312e+16,-2148860000000000.0,279438.0,9.4239
